scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
mech_evidence,1,452,0.042453364313804684,0.06799465704995937,245,0
no_mech_evidence,1,3210,0.009359145279164278,0.015811460586301607,2284,0
