iter,t,j,argmax_state,max_prob
,0,0,3,0.5247595
,0,1,0,1.0
,0,2,0,1.0
,0,3,0,1.0
,1,0,0,0.94863445
,1,1,2,1.0
,1,2,1,0.5186508
,1,3,0,0.9345469
,2,0,1,0.53435826
,2,1,0,0.94303554
,2,2,0,0.8442543
,2,3,2,1.0
,3,0,0,0.84145206
,3,1,1,0.5803678
,3,2,2,1.0
,3,3,0,0.9306295
,4,0,2,1.0
,4,1,0,0.7022198
,4,2,0,0.9757601
,4,3,1,0.7746487
,5,0,0,0.97615963
,5,1,3,1.0
,5,2,0,0.93025357
,5,3,1,0.8958937
,6,0,0,0.9304293
,6,1,0,0.9776952
,6,2,2,1.0
,6,3,1,0.9137613
,7,0,2,1.0
,7,1,0,0.9306613
,7,2,0,0.93107814
,7,3,1,0.89968014
,8,0,0,0.9983953
,8,1,2,1.0
,8,2,1,0.7680214
,8,3,1,0.79795694
,9,0,2,1.0
,9,1,0,0.9307212
,9,2,1,0.87538105
,9,3,0,0.7954135
,10,0,0,0.998397
,10,1,1,0.77344096
,10,2,1,0.8174015
,10,3,2,1.0
,11,0,2,1.0
,11,1,1,0.8920269
,11,2,0,0.636412
,11,3,0,0.9306363
,12,0,0,0.99842685
,12,1,1,0.8959935
,12,2,3,1.0
,12,3,1,0.7758213
,13,0,2,1.0
,13,1,1,0.8001499
,13,2,0,0.9972605
,13,3,1,0.8987132
,14,0,0,0.9632859
,14,1,0,0.7766105
,14,2,3,1.0
,14,3,1,0.92536294
,15,0,0,0.9160954
,15,1,2,1.0
,15,2,0,0.94838387
,15,3,1,0.9214132
,16,0,2,1.0
,16,1,0,0.99689525
,16,2,1,0.5640032
,16,3,1,0.9125962
,17,0,0,0.8970254
,17,1,2,1.0
,17,2,0,0.82170194
,17,3,1,0.8175076
,18,0,1,0.7724013
,18,1,0,0.9763892
,18,2,2,1.0
,18,3,0,0.79181516
,19,0,1,0.87058324
,19,1,0,0.93042815
,19,2,0,0.9307135
,19,3,2,1.0
,20,0,1,0.7889014
,20,1,2,1.0
,20,2,1,0.77489865
,20,3,0,0.99839485
,21,0,0,0.79711556
,21,1,0,0.97572833
,21,2,1,0.8965949
,21,3,2,1.0
,22,0,2,1.0
,22,1,0,0.9303088
,22,2,1,0.9175835
,22,3,0,0.9306914
,23,0,0,0.99839485
,23,1,2,1.0
,23,2,1,0.92117816
,23,3,1,0.77493286
,24,0,2,1.0
,24,1,0,0.99839497
,24,2,1,0.92140484
,24,3,1,0.8966553
,25,0,0,0.9983952
,25,1,2,1.0
,25,2,1,0.91916066
,25,3,1,0.9176571
,26,0,2,1.0
,26,1,0,0.99641
,26,2,1,0.90553415
,26,3,1,0.9213029
,27,0,0,0.99843746
,27,1,3,1.0
,27,2,1,0.82639796
,27,3,1,0.9220312
,28,0,2,1.0
,28,1,0,0.95029193
,28,2,0,0.63378507
,28,3,1,0.922042
,29,0,0,0.9964751
,29,1,1,0.534429
,29,2,3,1.0
,29,3,1,0.92214394
,30,0,3,1.0
,30,1,0,0.8411219
,30,2,0,0.97334576
,30,3,1,0.92215097
,31,0,0,0.9776906
,31,1,2,1.0
,31,2,0,0.8565971
,31,3,1,0.9220541
,32,0,0,0.9305767
,32,1,0,0.97155124
,32,2,3,1.0
,32,3,1,0.9220933
,33,0,2,1.0
,33,1,0,0.8562287
,33,2,0,0.9502928
,33,3,1,0.92203456
,34,0,0,0.99842983
,34,1,3,1.0
,34,2,1,0.5344002
,34,3,1,0.9220467
,35,0,2,1.0
,35,1,0,0.93618923
,35,2,0,0.841303
,35,3,1,0.9215436
,36,0,0,0.996413
,36,1,1,0.7738014
,36,2,2,1.0
,36,3,1,0.9192123
,37,0,3,1.0
,37,1,1,0.8958458
,37,2,0,0.9984379
,37,3,1,0.90564394
,38,0,0,0.9985194
,38,1,1,0.9137808
,38,2,2,1.0
,38,3,1,0.82616675
,39,0,2,1.0
,39,1,1,0.89973325
,39,2,0,0.9306979
,39,3,0,0.6339461
,40,0,0,0.99842626
,40,1,1,0.79819787
,40,2,1,0.77489
,40,3,3,1.0
,41,0,2,1.0
,41,1,0,0.79529244
,41,2,1,0.89587975
,41,3,0,0.93617606
,42,0,0,0.99839664
,42,1,2,1.0
,42,2,1,0.9139158
,42,3,1,0.774025
,43,0,2,1.0
,43,1,0,0.9964094
,43,2,1,0.90044427
,43,3,1,0.89657265
,44,0,0,0.9984372
,44,1,3,1.0
,44,2,1,0.8019861
,44,3,1,0.9179639
,45,0,2,1.0
,45,1,0,0.94641346
,45,2,0,0.7738659
,45,3,1,0.9224315
,46,0,0,0.99536556
,46,1,1,0.59758437
,46,2,2,1.0
