transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.22782373428344727, 0.26529163122177124, 0.34672459959983826, 0.16016003489494324], [0.32865986227989197, 0.5655553936958313, 0.06204915791749954, 0.04373559355735779], [0.9275491833686829, 0.06380048394203186, 0.0046723079867661, 0.003977968357503414], [0.9439147114753723, 0.04752546176314354, 0.0046854387037456036, 0.003874316578730941]], [[0.22370220720767975, 0.2916794717311859, 0.2807358205318451, 0.20388250052928925], [0.2856951057910919, 0.5611410140991211, 0.09786472469568253, 0.05529916658997536], [0.8470672965049744, 0.040576282888650894, 0.01143792737275362, 0.1009184941649437], [0.899096667766571, 0.040981192141771317, 0.0031013775151222944, 0.05682078376412392]]]","[0.9439147114753723, 0.899096667766571]","[3, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.22782373428344727, 0.26529163122177124, 0.34672459959983826, 0.16016003489494324], [0.32865986227989197, 0.5655553936958313, 0.06204915791749954, 0.04373559355735779], [0.9275491833686829, 0.06380048394203186, 0.0046723079867661, 0.003977968357503414], [0.9439147114753723, 0.04752546176314354, 0.0046854387037456036, 0.003874316578730941]], [[0.22370220720767975, 0.2916794717311859, 0.2807358205318451, 0.20388250052928925], [0.2856951057910919, 0.5611410140991211, 0.09786472469568253, 0.05529916658997536], [0.8470672965049744, 0.040576282888650894, 0.01143792737275362, 0.1009184941649437], [0.899096667766571, 0.040981192141771317, 0.0031013775151222944, 0.05682078376412392]]]","[0.9439147114753723, 0.899096667766571]","[3, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.22782373428344727, 0.26529163122177124, 0.34672459959983826, 0.16016003489494324], [0.32865986227989197, 0.5655553936958313, 0.06204915791749954, 0.04373559355735779], [0.9275491833686829, 0.06380048394203186, 0.0046723079867661, 0.003977968357503414], [0.9439147114753723, 0.04752546176314354, 0.0046854387037456036, 0.003874316578730941]], [[0.22370220720767975, 0.2916794717311859, 0.2807358205318451, 0.20388250052928925], [0.2856951057910919, 0.5611410140991211, 0.09786472469568253, 0.05529916658997536], [0.8470672965049744, 0.040576282888650894, 0.01143792737275362, 0.1009184941649437], [0.899096667766571, 0.040981192141771317, 0.0031013775151222944, 0.05682078376412392]]]","[0.9439147114753723, 0.899096667766571]","[3, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.22782373428344727, 0.26529163122177124, 0.34672459959983826, 0.16016003489494324], [0.32865986227989197, 0.5655553936958313, 0.06204915791749954, 0.04373559355735779], [0.9275491833686829, 0.06380048394203186, 0.0046723079867661, 0.003977968357503414], [0.9439147114753723, 0.04752546176314354, 0.0046854387037456036, 0.003874316578730941]], [[0.22370220720767975, 0.2916794717311859, 0.2807358205318451, 0.20388250052928925], [0.2856951057910919, 0.5611410140991211, 0.09786472469568253, 0.05529916658997536], [0.8470672965049744, 0.040576282888650894, 0.01143792737275362, 0.1009184941649437], [0.899096667766571, 0.040981192141771317, 0.0031013775151222944, 0.05682078376412392]]]","[0.9439147114753723, 0.899096667766571]","[3, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.06127201393246651, 0.5272003412246704, 0.09324979037046432, 0.3182777762413025], [0.06717222183942795, 0.8540969491004944, 0.012681743130087852, 0.06604912132024765], [0.6472597122192383, 0.32896870374679565, 0.003260416677221656, 0.02051122859120369], [0.7105672359466553, 0.2643551528453827, 0.0035271397791802883, 0.021550457924604416]], [[0.08324525505304337, 0.8020179271697998, 0.10446891188621521, 0.010267864912748337], [0.06296524405479431, 0.9138166904449463, 0.021568717435002327, 0.0016494058072566986], [0.7227638363838196, 0.25582313537597656, 0.009759461507201195, 0.011653607711195946], [0.7414005398750305, 0.2497008889913559, 0.002557414583861828, 0.006341102067381144]]]","[0.8540969491004944, 0.9138166904449463]","[1, 1]","[1, 1]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.2293095737695694, 0.2650189995765686, 0.3456851541996002, 0.15998631715774536], [0.3305995464324951, 0.5636541247367859, 0.0618145577609539, 0.04393182694911957], [0.9268919825553894, 0.063301682472229, 0.005992733873426914, 0.0038136153016239405], [0.9441783428192139, 0.047233954071998596, 0.0047052474692463875, 0.003882417920976877]], [[0.22468510270118713, 0.2912707030773163, 0.2801714837551117, 0.20387274026870728], [0.2862522304058075, 0.5590669512748718, 0.09875860065221786, 0.05592221021652222], [0.8482398986816406, 0.04075104370713234, 0.012548120692372322, 0.09846088290214539], [0.8993015885353088, 0.04070170968770981, 0.002995752729475498, 0.05700099468231201]]]","[0.9441783428192139, 0.8993015885353088]","[3, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.2293095737695694, 0.2650189995765686, 0.3456851541996002, 0.15998631715774536], [0.3305995464324951, 0.5636541247367859, 0.0618145577609539, 0.04393182694911957], [0.9268919825553894, 0.063301682472229, 0.005992733873426914, 0.0038136153016239405], [0.9441783428192139, 0.047233954071998596, 0.0047052474692463875, 0.003882417920976877]], [[0.22468510270118713, 0.2912707030773163, 0.2801714837551117, 0.20387274026870728], [0.2862522304058075, 0.5590669512748718, 0.09875860065221786, 0.05592221021652222], [0.8482398986816406, 0.04075104370713234, 0.012548120692372322, 0.09846088290214539], [0.8993015885353088, 0.04070170968770981, 0.002995752729475498, 0.05700099468231201]]]","[0.9441783428192139, 0.8993015885353088]","[3, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.2293095737695694, 0.2650189995765686, 0.3456851541996002, 0.15998631715774536], [0.3305995464324951, 0.5636541247367859, 0.0618145577609539, 0.04393182694911957], [0.9268919825553894, 0.063301682472229, 0.005992733873426914, 0.0038136153016239405], [0.9441783428192139, 0.047233954071998596, 0.0047052474692463875, 0.003882417920976877]], [[0.22468510270118713, 0.2912707030773163, 0.2801714837551117, 0.20387274026870728], [0.2862522304058075, 0.5590669512748718, 0.09875860065221786, 0.05592221021652222], [0.8482398986816406, 0.04075104370713234, 0.012548120692372322, 0.09846088290214539], [0.8993015885353088, 0.04070170968770981, 0.002995752729475498, 0.05700099468231201]]]","[0.9441783428192139, 0.8993015885353088]","[3, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.2293095737695694, 0.2650189995765686, 0.3456851541996002, 0.15998631715774536], [0.3305995464324951, 0.5636541247367859, 0.0618145577609539, 0.04393182694911957], [0.9268919825553894, 0.063301682472229, 0.005992733873426914, 0.0038136153016239405], [0.9441783428192139, 0.047233954071998596, 0.0047052474692463875, 0.003882417920976877]], [[0.22468510270118713, 0.2912707030773163, 0.2801714837551117, 0.20387274026870728], [0.2862522304058075, 0.5590669512748718, 0.09875860065221786, 0.05592221021652222], [0.8482398986816406, 0.04075104370713234, 0.012548120692372322, 0.09846088290214539], [0.8993015885353088, 0.04070170968770981, 0.002995752729475498, 0.05700099468231201]]]","[0.9441783428192139, 0.8993015885353088]","[3, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.06171896308660507, 0.5270628929138184, 0.09304159879684448, 0.3181765675544739], [0.06771943718194962, 0.8531250357627869, 0.01266198605298996, 0.06649351865053177], [0.6487190127372742, 0.32736462354660034, 0.004194232169538736, 0.019722117111086845], [0.7117359042167664, 0.2630922794342041, 0.0035468863788992167, 0.02162499912083149]], [[0.08369208127260208, 0.8016705513000488, 0.10436000674962997, 0.010277330875396729], [0.06328035145998001, 0.9132144451141357, 0.021832063794136047, 0.0016730747884139419], [0.7217680811882019, 0.25621622800827026, 0.010677207261323929, 0.011338448151946068], [0.7427586913108826, 0.2483956515789032, 0.0024742770474404097, 0.006371414754539728]]]","[0.8531250357627869, 0.9132144451141357]","[1, 1]","[1, 1]"
