iter,t,j,argmax_state,max_prob
,55,2,0,0.9094826
,55,3,1,0.546751
,56,0,0,0.7474235
,56,1,0,0.84745455
,56,2,0,0.75718117
,56,3,3,1.0
,57,0,0,0.66732496
,57,1,3,1.0
,57,2,0,0.5979603
,57,3,1,0.87218636
,58,0,2,1.0
,58,1,1,0.9576957
,58,2,0,0.54073244
,58,3,1,0.5287896
,59,0,0,0.927067
,59,1,3,1.0
,59,2,0,0.721533
,59,3,0,0.5316883
,60,0,0,0.6932862
,60,1,1,0.85904026
,60,2,0,0.59408134
,60,3,3,1.0
,61,0,2,1.0
,61,1,0,0.74180907
,61,2,0,0.5406807
,61,3,1,0.8893376
,62,0,0,0.9676299
,62,1,2,1.0
,62,2,0,0.6965696
,62,3,0,0.6451868
,63,0,2,1.0
,63,1,0,0.9078206
,63,2,0,0.87508035
,63,3,0,0.69322824
,64,0,0,0.9676967
,64,1,0,0.72906744
,64,2,2,1.0
,64,3,0,0.696829
,65,0,2,1.0
,65,1,0,0.87652963
,65,2,0,0.90782166
,65,3,0,0.69755596
,66,0,0,0.9676967
,66,1,2,1.0
,66,2,0,0.72906727
,66,3,0,0.69720036
,67,0,2,1.0
,67,1,0,0.9073343
,67,2,0,0.87652135
,67,3,0,0.6976981
,68,0,0,0.96767664
,68,1,0,0.71483725
,68,2,2,1.0
,68,3,0,0.6984602
,69,0,2,1.0
,69,1,0,0.70002687
,69,2,0,0.9677044
,69,3,0,0.7122114
,70,0,0,0.90780044
,70,1,0,0.7125691
,70,2,2,1.0
,70,3,0,0.8758797
,71,0,0,0.72928894
,71,1,0,0.87577903
,71,2,0,0.9066268
,71,3,2,1.0
,72,0,0,0.87616843
,72,1,2,1.0
,72,2,0,0.6952285
,72,3,0,0.9075297
,73,0,2,1.0
,73,1,0,0.908876
,73,2,1,0.54775196
,73,3,0,0.7181841
,74,0,0,0.9495399
,74,1,0,0.74443996
,74,2,3,1.0
,74,3,0,0.7293678
,75,0,2,1.0
,75,1,0,0.58606374
,75,2,1,0.7053657
,75,3,0,0.58447325
,76,0,0,0.9675585
,76,1,0,0.68358994
,76,2,2,1.0
,76,3,0,0.68344283
,77,0,2,1.0
,77,1,0,0.6967128
,77,2,0,0.96765506
,77,3,0,0.69655293
,78,0,0,0.7787099
,78,1,0,0.7031714
,78,2,2,1.0
,78,3,0,0.70139456
,79,0,3,1.0
,79,1,0,0.74039716
,79,2,0,0.92529655
,79,3,0,0.7191764
,80,0,2,1.0
,80,1,0,0.5343402
,80,2,0,0.5550505
,80,3,1,0.7110853
,81,0,0,0.9478167
,81,1,0,0.7102829
,81,2,0,0.7120951
,81,3,3,1.0
,82,0,2,1.0
,82,1,0,0.5795608
,82,2,0,0.5813991
,82,3,1,0.9532279
,83,0,0,0.8484725
,83,1,0,0.71175873
,83,2,0,0.7291274
,83,3,3,1.0
,84,0,3,1.0
,84,1,1,0.5959711
,84,2,0,0.5988357
,84,3,1,0.86798805
,85,0,1,0.83889294
,85,1,3,1.0
,85,2,0,0.57326704
,85,3,0,0.54930985
,86,0,2,1.0
,86,1,1,0.893318
,86,2,0,0.5240426
,86,3,0,0.7653277
,87,0,0,0.96753407
,87,1,0,0.6453925
,87,2,0,0.6589513
,87,3,2,1.0
,88,0,2,1.0
,88,1,0,0.6989864
,88,2,1,0.55093706
,88,3,0,0.9091567
,89,0,0,0.9434032
,89,1,0,0.75595325
,89,2,3,1.0
,89,3,0,0.7522065
,90,0,2,1.0
,90,1,0,0.78711414
,90,2,1,0.95075285
,90,3,0,0.554471
,91,0,0,0.77746975
,91,1,2,1.0
,91,2,0,0.6448346
,91,3,0,0.6935346
,92,0,3,1.0
,92,1,0,0.9215916
,92,2,0,0.7261522
,92,3,0,0.80591774
,93,0,1,0.95407915
,93,1,0,0.6062196
,93,2,0,0.5776069
,93,3,2,1.0
,94,0,3,1.0
,94,1,0,0.80139
,94,2,0,0.7175085
,94,3,0,0.9204735
,95,0,1,0.7096926
,95,1,2,1.0
,95,2,0,0.59491897
,95,3,0,0.5988832
,96,0,2,0.9991604
,96,1,0,0.90708214
,96,2,0,0.8682311
,96,3,0,0.6834526
,97,0,0,0.96748966
,97,1,0,0.7147579
,97,2,2,1.0
,97,3,0,0.6756906
,98,0,2,1.0
,98,1,0,0.6983377
,98,2,0,0.90797144
,98,3,1,0.54851025
,99,0,0,0.7785571
,99,1,0,0.6742713
,99,2,0,0.7127475
,99,3,3,1.0
,100,0,3,1.0
,100,1,1,0.5568826
,100,2,0,0.69319606
,100,3,0,0.6375846
,101,0,0,0.6236422
,101,1,3,0.9999987
,101,2,0,0.6941958
,101,3,0,0.8703748
,102,0,0,0.69605273
,102,1,1,0.62666184
,102,2,0,0.70031
,102,3,2,1.0
,103,0,0,0.7465113
,103,1,3,1.0
,103,2,0,0.72784996
,103,3,0,0.95007694
,104,0,0,0.80988586
,104,1,1,0.8860783
,104,2,0,0.58736753
,104,3,2,1.0
,105,0,2,1.0
,105,1,1,0.6048895
,105,2,0,0.6912293
,105,3,0,0.90358704
,106,0,0,0.9263518
,106,1,3,1.0
,106,2,0,0.74815154
,106,3,0,0.5904766
,107,0,0,0.6104496
,107,1,1,0.9424163
,107,2,0,0.64767826
,107,3,3,1.0
,108,0,0,0.5394528
,108,1,0,0.71916103
,108,2,2,1.0
,108,3,1,0.9571675
,109,0,0,0.86562455
,109,1,2,1.0
,109,2,0,0.9082843
,109,3,0,0.6433696
,110,0,2,0.99999917
,110,1,0,0.91772413
,110,2,0,0.7392707
,110,3,0,0.7246488
,111,0,3,1.0
,111,1,0,0.687203
,111,2,0,0.66957057
,111,3,0,0.7437644
,112,0,1,0.95619947
,112,1,0,0.5686272
,112,2,0,0.5584648
,112,3,2,1.0
,113,0,3,1.0
,113,1,0,0.8002362
,113,2,0,0.71355397
,113,3,0,0.9273243
,114,0,1,0.8788988
,114,1,2,1.0
,114,2,0,0.57870966
,114,3,0,0.81957656
,115,0,0,0.64500725
,115,1,0,0.9676192
,115,2,0,0.6853205
,115,3,2,1.0
,116,0,0,0.67257446
,116,1,2,1.0
,116,2,0,0.6968309
,116,3,0,0.96761364
,117,0,1,0.5496432
,117,1,0,0.90892833
,117,2,0,0.7009005
,117,3,2,1.0
,118,0,3,1.0
,118,1,0,0.7457586
,118,2,0,0.7278812
,118,3,0,0.9496582
,119,0,1,0.70424885
,119,1,0,0.6039297
,119,2,0,0.584833
,119,3,2,0.9999999
,120,0,2,1.0
,120,1,0,0.8688778
,120,2,0,0.685381
,120,3,0,0.91292024
,121,0,0,0.9072934
,121,1,2,1.0
,121,2,0,0.7111267
,121,3,0,0.8846374
,122,0,0,0.7150332
,122,1,0,0.9131458
,122,2,0,0.87572527
,122,3,2,1.0
,123,0,0,0.70012915
,123,1,0,0.88460535
,123,2,2,1.0
,123,3,0,0.9073559
,124,0,0,0.71218455
,124,1,2,1.0
,124,2,0,0.96769726
,124,3,0,0.7159089
,125,0,0,0.87586653
,125,1,0,0.90735066
,125,2,2,0.9999912
,125,3,0,0.71385175
,126,0,2,1.0
,126,1,0,0.71617204
,126,2,0,0.90725994
,126,3,0,0.87576735
,127,0,0,0.9676918
,127,1,0,0.71346223
,127,2,0,0.7130709
,127,3,2,1.0
,128,0,2,1.0
,128,1,0,0.8755578
,128,2,0,0.6787226
,128,3,0,0.9075483
,129,0,0,0.90897167
,129,1,2,1.0
,129,2,1,0.54916996
,129,3,0,0.7184363
,130,0,0,0.7464189
,130,1,0,0.948268
,130,2,3,1.0
,130,3,0,0.7315649
,131,0,0,0.5843805
,131,1,2,1.0
,131,2,1,0.9530596
,131,3,0,0.5844498
,132,0,0,0.7122785
,132,1,0,0.8485261
,132,2,3,1.0
,132,3,0,0.72952986
,133,0,1,0.59521645
,133,1,3,1.0
,133,2,1,0.868818
,133,3,0,0.5999723
,134,0,3,1.0
,134,1,1,0.9371978
,134,2,0,0.5291356
,134,3,0,0.5802606
,135,0,1,0.8406976
,135,1,3,0.99999964
,135,2,0,0.56717324
,135,3,0,0.57274693
,136,0,2,1.0
,136,1,1,0.95912033
,136,2,0,0.52425754
,136,3,0,0.52475053
,137,0,0,0.9674606
,137,1,3,1.0
,137,2,0,0.6744026
,137,3,0,0.67316276
,138,0,2,1.0
,138,1,0,0.83693916
,138,2,0,0.7103778
,138,3,0,0.69547474
,139,0,0,0.9074206
,139,1,2,1.0
,139,2,0,0.87553596
,139,3,0,0.6975698
,140,0,0,0.716694
,140,1,0,0.7783687
,140,2,2,1.0
,140,3,0,0.6993405
,141,0,0,0.69859344
,141,1,3,1.0
,141,2,0,0.7783328
,141,3,0,0.69855154
,142,0,0,0.7235018
,142,1,1,0.5177388
,142,2,3,1.0
,142,3,0,0.7402806
,143,0,1,0.59250754
,143,1,3,1.0
,143,2,1,0.8643562
,143,3,0,0.60245425
,144,0,3,1.0
,144,1,1,0.8739092
,144,2,0,0.5996133
,144,3,0,0.57318735
,145,0,1,0.73309356
,145,1,0,0.5011383
,145,2,2,1.0
,145,3,0,0.5321506
,146,0,2,1.0
,146,1,0,0.8638017
,146,2,0,0.91287726
,146,3,0,0.6790246
,147,0,0,0.9073493
,147,1,2,1.0
,147,2,0,0.8845442
,147,3,0,0.6970272
,148,0,0,0.71590674
,148,1,0,0.967699
,148,2,2,1.0
,148,3,0,0.71193105
,149,0,0,0.7138468
,149,1,2,1.0
,149,2,0,0.90732396
,149,3,0,0.8758533
,150,0,0,0.8756876
,150,1,0,0.90748566
,150,2,0,0.7153747
,150,3,2,1.0
,151,0,2,1.0
,151,1,0,0.7187463
,151,2,0,0.7028111
,151,3,0,0.7777696
,152,0,0,0.9495166
,152,1,0,0.72887295
,152,2,0,0.7276102
,152,3,3,1.0
,153,0,2,1.0
,153,1,0,0.58441824
,153,2,0,0.584274
,153,3,1,0.70537055
,154,0,0,0.9675591
,154,1,0,0.6835085
,154,2,0,0.6833789
,154,3,2,1.0
,155,0,2,1.0
,155,1,0,0.69737613
,155,2,0,0.6959898
,155,3,0,0.96767974
,156,0,0,0.96769786
,156,1,0,0.7121191
,156,2,0,0.6955608
,156,3,2,1.0
,157,0,2,1.0
,157,1,0,0.8755062
,157,2,0,0.677201
,157,3,0,0.90744424
,158,0,0,0.9136098
,158,1,2,1.0
,158,2,1,0.549555
,158,3,0,0.715424
,159,0,0,0.8826598
,159,1,0,0.90721136
,159,2,3,1.0
,159,3,0,0.6958372
,160,0,2,1.0
,160,1,0,0.71537745
,160,2,1,0.62651354
,160,3,0,0.6988719
,161,0,0,0.96761423
,161,1,0,0.6966254
,161,2,3,1.0
,161,3,0,0.70888424
,162,0,2,1.0
,162,1,0,0.7122157
,162,2,0,0.62793076
,162,3,0,0.87576646
,163,0,0,0.9073448
,163,1,0,0.875849
,163,2,0,0.7066667
,163,3,2,1.0
,164,0,0,0.7161254
,164,1,2,1.0
,164,2,0,0.8755357
,164,3,0,0.9131458
,165,0,0,0.7137039
,165,1,0,0.907336
,165,2,2,1.0
,165,3,0,0.88468695
,166,0,0,0.8758486
,166,1,0,0.7161262
,166,2,0,0.91314584
,166,3,2,1.0
,167,0,2,1.0
,167,1,0,0.7137041
,167,2,0,0.8846861
,167,3,0,0.9072987
,168,0,0,0.9131458
,168,1,0,0.87584
,168,2,2,0.99999905
,168,3,0,0.71503437
,169,0,0,0.8846048
,169,1,2,1.0
,169,2,0,0.90731466
,169,3,0,0.7001301
,170,0,2,1.0
,170,1,0,0.9676974
,170,2,0,0.71471256
,170,3,0,0.7121875
,171,0,0,0.9131539
,171,1,2,1.0
,171,2,0,0.69901687
,171,3,0,0.8758564
,172,0,0,0.88460124
,172,1,0,0.9073193
,172,2,0,0.6976821
,172,3,2,1.0
,173,0,2,1.0
,173,1,0,0.7147415
,173,2,0,0.6984638
,173,3,0,0.9676765
,174,0,0,0.9677028
,174,1,0,0.69879985
,174,2,0,0.71221447
,174,3,2,1.0
,175,0,2,1.0
,175,1,0,0.6977842
,175,2,0,0.8758652
,175,3,0,0.9131564
,176,0,0,0.9131433
,176,1,0,0.69865227
,176,2,2,1.0
,176,3,0,0.8846888
,177,0,0,0.8846992
,177,1,0,0.7122935
,177,2,0,0.90778875
,177,3,2,1.0
,178,0,2,1.0
,178,1,0,0.87579566
,178,2,0,0.72930026
,178,3,0,0.90779144
,179,0,0,0.90729725
,179,1,2,1.0
,179,2,0,0.8765358
,179,3,0,0.72929114
,180,0,0,0.7149165
,180,1,0,0.9131466
,180,2,2,1.0
,180,3,0,0.87652564
,181,0,0,0.6988483
,181,1,0,0.88467497
,181,2,0,0.9131426
,181,3,2,1.0
,182,0,0,0.6975603
,182,1,2,1.0
,182,2,0,0.8846106
,182,3,0,0.9078105
,183,0,0,0.69719845
,183,1,0,0.9676974
,183,2,2,1.0
,183,3,0,0.72907555
,184,0,0,0.69764155
,184,1,2,1.0
,184,2,0,0.9131557
,184,3,0,0.87660766
,185,0,0,0.69864076
,185,1,0,0.91314316
,185,2,0,0.8846891
,185,3,2,1.0
,186,0,0,0.7122923
,186,1,0,0.88469803
,186,2,2,1.0
,186,3,0,0.907789
,187,0,0,0.8757894
,187,1,2,0.99999726
,187,2,0,0.90729845
,187,3,0,0.7293043
,188,0,2,1.0
,188,1,0,0.91314423
,188,2,0,0.71492136
,188,3,0,0.876524
,189,0,0,0.90780973
,189,1,0,0.8846033
,189,2,0,0.6988887
,189,3,2,1.0
,190,0,0,0.7290746
,190,1,2,0.999998
,190,2,0,0.6973011
,190,3,0,0.9676974
,191,0,0,0.8766039
,191,1,0,0.91314703
,191,2,0,0.6975593
,191,3,2,1.0
,192,0,2,1.0
,192,1,0,0.88441586
,192,2,0,0.6975099
,192,3,0,0.9066506
,193,0,0,0.96760064
,193,1,2,0.9995975
,193,2,0,0.6976368
,193,3,0,0.69512635
,194,0,2,1.0
,194,1,0,0.899508
,194,2,0,0.7000823
,194,3,1,0.54600793
,195,0,0,0.90741795
,195,1,1,0.5340356
,195,2,0,0.70839244
,195,3,3,1.0
,196,0,0,0.711428
,196,1,3,1.0
,196,2,0,0.87374985
,196,3,0,0.6392563
,197,0,0,0.6986097
,197,1,0,0.64308053
,197,2,2,1.0
,197,3,0,0.87264335
,198,0,0,0.6976277
,198,1,0,0.8727695
,198,2,0,0.913152
,198,3,2,1.0
,199,0,0,0.69755125
,199,1,2,1.0
,199,2,0,0.88460743
,199,3,0,0.9078096
,200,0,0,0.69842076
,200,1,0,0.967699
,200,2,2,1.0
,200,3,0,0.7290724
,201,0,0,0.71243525
,201,1,2,1.0
,201,2,0,0.9073071
,201,3,0,0.8766164
,202,0,0,0.87578136
,202,1,0,0.9131454
,202,2,0,0.71493345
,202,3,2,1.0
,203,0,2,1.0
,203,1,0,0.88459545
,203,2,0,0.69890004
,203,3,0,0.9073193
,204,0,0,0.9676741
,204,1,2,1.0
,204,2,0,0.69733965
,204,3,0,0.71474934
,205,0,2,1.0
,205,1,0,0.9676795
,205,2,0,0.6973784
,205,3,0,0.69883186
,206,0,0,0.9676796
,206,1,2,1.0
,206,2,0,0.69739234
,206,3,0,0.69751364
,207,0,2,1.0
,207,1,0,0.96344095
,207,2,0,0.69740516
,207,3,0,0.69741535
,208,0,0,0.96767926
,208,1,2,0.97798723
,208,2,0,0.69734764
,208,3,0,0.69734836
,209,0,2,1.0
,209,1,0,0.96480024
,209,2,0,0.697394
,209,3,0,0.6973934
,210,0,0,0.96767974
,210,1,2,1.0
,210,2,0,0.6973978
,210,3,0,0.69739
,211,0,2,0.9999999
,211,1,0,0.9676801
,211,2,0,0.69749427
,211,3,0,0.69739926
,212,0,0,0.9676824
,212,1,2,1.0
,212,2,0,0.6986244
,212,3,0,0.6974858
,213,0,2,1.0
,213,1,0,0.96770465
,213,2,0,0.71222824
,213,3,0,0.69859153
,214,0,0,0.90730786
,214,1,2,1.0
,214,2,0,0.87580734
,214,3,0,0.71245843
,215,0,0,0.7149327
,215,1,0,0.9131454
,215,2,2,0.999841
,215,3,0,0.87578195
,216,0,0,0.6988987
,216,1,0,0.88459617
,216,2,0,0.90731555
,216,3,2,1.0
,217,0,0,0.6973308
,217,1,2,1.0
,217,2,0,0.7159366
,217,3,0,0.9676765
,218,0,0,0.6973431
,218,1,0,0.96770227
,218,2,0,0.71362966
,218,3,2,1.0
,219,0,0,0.6976071
,219,1,2,1.0
,219,2,0,0.87584996
,219,3,0,0.9078223
,220,0,0,0.6971946
,220,1,0,0.9676967
,220,2,2,1.0
,220,3,0,0.72906756
,221,0,0,0.69758517
,221,1,2,1.0
,221,2,0,0.90782183
,221,3,0,0.87652963
,222,0,0,0.69718856
,222,1,0,0.96769726
,222,2,0,0.72907215
,222,3,2,1.0
,223,0,0,0.6975471
,223,1,2,1.0
,223,2,0,0.87660074
,223,3,0,0.9130466
,224,0,0,0.69744855
,224,1,0,0.9073232
,224,2,2,0.9999993
,224,3,0,0.8814578
,225,0,0,0.6970529
,225,1,0,0.7147309
,225,2,0,0.9676733
,225,3,2,0.9924632
,226,0,0,0.69567466
,226,1,0,0.6988952
,226,2,2,1.0
,226,3,0,0.9666885
,227,0,0,0.6769453
,227,1,0,0.6981108
,227,2,0,0.96761495
,227,3,2,1.0
,228,0,1,0.5494111
,228,1,0,0.7025884
,228,2,2,1.0
,228,3,0,0.91163653
,229,0,3,1.0
,229,1,0,0.7480089
,229,2,0,0.9203242
,229,3,0,0.8255646
,230,0,1,0.87814724
,230,1,0,0.80785114
,230,2,0,0.6021901
,230,3,2,1.0
,231,0,0,0.6468781
,231,1,2,1.0
,231,2,0,0.6872231
,231,3,0,0.9676236
,232,0,0,0.6931619
,232,1,0,0.9676796
,232,2,0,0.6965218
,232,3,2,1.0
,233,0,0,0.6971424
,233,1,2,1.0
,233,2,0,0.69731987
,233,3,0,0.9676801
,234,0,0,0.69859636
,234,1,0,0.9676823
,234,2,0,0.697377
,234,3,2,1.0
,235,0,0,0.71223456
,235,1,2,1.0
,235,2,0,0.6973513
,235,3,0,0.96770304
,236,0,0,0.8758658
,236,1,0,0.91315633
,236,2,0,0.6975623
,236,3,2,1.0
,237,0,2,1.0
,237,1,0,0.88468003
,237,2,0,0.69740963
,237,3,0,0.9131429
,238,0,0,0.90732366
,238,1,2,1.0
,238,2,0,0.6974509
,238,3,0,0.8846026
,239,0,0,0.7148491
,239,1,0,0.9676743
,239,2,0,0.6972181
,239,3,2,1.0
,240,0,0,0.7000614
,240,1,2,1.0
,240,2,0,0.6973591
,240,3,0,0.96768194
,241,0,0,0.7123483
,241,1,0,0.9677025
,241,2,0,0.6973546
,241,3,2,1.0
,242,0,0,0.8757936
,242,1,2,1.0
,242,2,0,0.6976089
,242,3,0,0.9078225
,243,0,2,1.0
,243,1,0,0.96769726
,243,2,0,0.6971977
,243,3,0,0.72907203
,244,0,0,0.9131558
,244,1,2,1.0
,244,2,0,0.6976415
,244,3,0,0.8766075
,245,0,0,0.88468885
,245,1,0,0.91314316
,245,2,0,0.6986412
,245,3,2,1.0
,246,0,2,1.0
,246,1,0,0.8846934
,246,2,0,0.7122965
,246,3,0,0.9072958
,247,0,0,0.91307807
,247,1,2,1.0
,247,2,0,0.87577873
,247,3,0,0.7149311
,248,0,0,0.8826473
,248,1,0,0.9131433
,248,2,2,1.0
,248,3,0,0.6988506
,249,0,2,0.9951284
,249,1,0,0.8845992
,249,2,0,0.9073149
,249,3,0,0.69756407
,250,0,0,0.96703595
,250,1,2,1.0
,250,2,0,0.71461546
,250,3,0,0.6972335
,251,0,2,1.0
,251,1,0,0.96767455
,251,2,0,0.6971461
,251,3,0,0.69740224
,252,0,0,0.9676118
,252,1,2,1.0
,252,2,0,0.6771253
,252,3,0,0.6976411
,253,0,2,1.0
,253,1,0,0.9078149
,253,2,1,0.5488873
,253,3,0,0.69828653
,254,0,0,0.96750396
,254,1,0,0.7113908
,254,2,3,1.0
,254,3,0,0.69370884
,255,0,2,1.0
,255,1,0,0.6991512
,255,2,1,0.6262845
,255,3,0,0.69766694
,256,0,0,0.9676162
,256,1,0,0.69412786
,256,2,3,1.0
,256,3,0,0.6938993
,257,0,2,1.0
,257,1,0,0.69855773
,257,2,0,0.83689415
,257,3,0,0.6973056
,258,0,0,0.9676982
,258,1,0,0.7120754
