data_k,data_want_evidence,param_k,param_want_evidence,N_pairs_data,D,mean_loglik_cross,N_to_silence,mean_loglik_to_silence_under_params
2,False,3,True,1440,128,149.9911607156446,1705,129.36390717170158
3,True,2,False,265,128,179.03326206056633,1705,184.02861973431925
