scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
mech_evidence,1,452,0.49554215641939536,0.023711438458540634,1,0
no_mech_evidence,1,3210,0.5009098706215713,0.021883486882268623,6,0
