scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
mech_evidence,1,452,0.7451145748187483,0.2238919905190209,1,1
no_mech_evidence,1,3210,0.09221534922927896,0.10291973337544978,6,0
