transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5556976795196533, 0.1193404495716095, 0.3025568723678589, 0.022404955700039864], [0.5313447713851929, 0.13063038885593414, 0.27252888679504395, 0.06549597531557083], [0.8540738821029663, 0.12568317353725433, 0.008997061289846897, 0.011245876550674438], [0.6578282713890076, 0.2897290587425232, 0.025055773556232452, 0.027386844158172607]], [[0.1304682195186615, 0.5365225076675415, 0.21016351878643036, 0.12284575402736664], [0.12660683691501617, 0.5319398045539856, 0.21407683193683624, 0.12737654149532318], [0.23563145101070404, 0.6154585480690002, 0.0026630819775164127, 0.14624695479869843], [0.139753058552742, 0.7703342437744141, 0.0012409831397235394, 0.08867175132036209]]]","[0.8540738821029663, 0.7703342437744141]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5556976795196533, 0.1193404495716095, 0.3025568723678589, 0.022404955700039864], [0.5313447713851929, 0.13063038885593414, 0.27252888679504395, 0.06549597531557083], [0.8540738821029663, 0.12568317353725433, 0.008997061289846897, 0.011245876550674438], [0.6578282713890076, 0.2897290587425232, 0.025055773556232452, 0.027386844158172607]], [[0.1304682195186615, 0.5365225076675415, 0.21016351878643036, 0.12284575402736664], [0.12660683691501617, 0.5319398045539856, 0.21407683193683624, 0.12737654149532318], [0.23563145101070404, 0.6154585480690002, 0.0026630819775164127, 0.14624695479869843], [0.139753058552742, 0.7703342437744141, 0.0012409831397235394, 0.08867175132036209]]]","[0.8540738821029663, 0.7703342437744141]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5556976795196533, 0.1193404495716095, 0.3025568723678589, 0.022404955700039864], [0.5313447713851929, 0.13063038885593414, 0.27252888679504395, 0.06549597531557083], [0.8540738821029663, 0.12568317353725433, 0.008997061289846897, 0.011245876550674438], [0.6578282713890076, 0.2897290587425232, 0.025055773556232452, 0.027386844158172607]], [[0.1304682195186615, 0.5365225076675415, 0.21016351878643036, 0.12284575402736664], [0.12660683691501617, 0.5319398045539856, 0.21407683193683624, 0.12737654149532318], [0.23563145101070404, 0.6154585480690002, 0.0026630819775164127, 0.14624695479869843], [0.139753058552742, 0.7703342437744141, 0.0012409831397235394, 0.08867175132036209]]]","[0.8540738821029663, 0.7703342437744141]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5556976795196533, 0.1193404495716095, 0.3025568723678589, 0.022404955700039864], [0.5313447713851929, 0.13063038885593414, 0.27252888679504395, 0.06549597531557083], [0.8540738821029663, 0.12568317353725433, 0.008997061289846897, 0.011245876550674438], [0.6578282713890076, 0.2897290587425232, 0.025055773556232452, 0.027386844158172607]], [[0.1304682195186615, 0.5365225076675415, 0.21016351878643036, 0.12284575402736664], [0.12660683691501617, 0.5319398045539856, 0.21407683193683624, 0.12737654149532318], [0.23563145101070404, 0.6154585480690002, 0.0026630819775164127, 0.14624695479869843], [0.139753058552742, 0.7703342437744141, 0.0012409831397235394, 0.08867175132036209]]]","[0.8540738821029663, 0.7703342437744141]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2916100323200226, 0.4627436697483063, 0.15877090394496918, 0.08687542378902435], [0.23583227396011353, 0.4284104108810425, 0.1209593266248703, 0.21479804813861847], [0.45554319024086, 0.49533626437187195, 0.004798825830221176, 0.0443216972053051], [0.21738693118095398, 0.7074599266052246, 0.008279966190457344, 0.06687315553426743]], [[0.030189434066414833, 0.9173332452774048, 0.04863036423921585, 0.0038469922728836536], [0.029522713273763657, 0.9165382385253906, 0.049919337034225464, 0.004019755404442549], [0.049031201750040054, 0.9462961554527283, 0.0005541455466300249, 0.004118482582271099], [0.023909691721200943, 0.9738248586654663, 0.00021231375285424292, 0.0020530943293124437]]]","[0.7074599266052246, 0.9738248586654663]","[3, 3]","[1, 1]"
