transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.42184945940971375, 0.2001442164182663, 0.15553972125053406, 0.22246666252613068], [0.48606589436531067, 0.28852853178977966, 0.09172859787940979, 0.13367699086666107], [0.8755226731300354, 0.11228572577238083, 0.003964981995522976, 0.008226574398577213], [0.8635317087173462, 0.12455068528652191, 0.0038708094507455826, 0.008046835660934448]], [[0.33270254731178284, 0.3243275284767151, 0.14107683300971985, 0.20189310610294342], [0.26789823174476624, 0.43678244948387146, 0.12599852681159973, 0.16932083666324615], [0.6525588631629944, 0.09945230185985565, 0.001930283266119659, 0.24605855345726013], [0.5107959508895874, 0.22753681242465973, 0.004399069584906101, 0.25726819038391113]]]","[0.8755226731300354, 0.6525588631629944]","[2, 2]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.42184945940971375, 0.2001442164182663, 0.15553972125053406, 0.22246666252613068], [0.48606589436531067, 0.28852853178977966, 0.09172859787940979, 0.13367699086666107], [0.8755226731300354, 0.11228572577238083, 0.003964981995522976, 0.008226574398577213], [0.8635317087173462, 0.12455068528652191, 0.0038708094507455826, 0.008046835660934448]], [[0.33270254731178284, 0.3243275284767151, 0.14107683300971985, 0.20189310610294342], [0.26789823174476624, 0.43678244948387146, 0.12599852681159973, 0.16932083666324615], [0.6525588631629944, 0.09945230185985565, 0.001930283266119659, 0.24605855345726013], [0.5107959508895874, 0.22753681242465973, 0.004399069584906101, 0.25726819038391113]]]","[0.8755226731300354, 0.6525588631629944]","[2, 2]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.42184945940971375, 0.2001442164182663, 0.15553972125053406, 0.22246666252613068], [0.48606589436531067, 0.28852853178977966, 0.09172859787940979, 0.13367699086666107], [0.8755226731300354, 0.11228572577238083, 0.003964981995522976, 0.008226574398577213], [0.8635317087173462, 0.12455068528652191, 0.0038708094507455826, 0.008046835660934448]], [[0.33270254731178284, 0.3243275284767151, 0.14107683300971985, 0.20189310610294342], [0.26789823174476624, 0.43678244948387146, 0.12599852681159973, 0.16932083666324615], [0.6525588631629944, 0.09945230185985565, 0.001930283266119659, 0.24605855345726013], [0.5107959508895874, 0.22753681242465973, 0.004399069584906101, 0.25726819038391113]]]","[0.8755226731300354, 0.6525588631629944]","[2, 2]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.42184945940971375, 0.2001442164182663, 0.15553972125053406, 0.22246666252613068], [0.48606589436531067, 0.28852853178977966, 0.09172859787940979, 0.13367699086666107], [0.8755226731300354, 0.11228572577238083, 0.003964981995522976, 0.008226574398577213], [0.8635317087173462, 0.12455068528652191, 0.0038708094507455826, 0.008046835660934448]], [[0.33270254731178284, 0.3243275284767151, 0.14107683300971985, 0.20189310610294342], [0.26789823174476624, 0.43678244948387146, 0.12599852681159973, 0.16932083666324615], [0.6525588631629944, 0.09945230185985565, 0.001930283266119659, 0.24605855345726013], [0.5107959508895874, 0.22753681242465973, 0.004399069584906101, 0.25726819038391113]]]","[0.8755226731300354, 0.6525588631629944]","[2, 2]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.1140107586979866, 0.3996872901916504, 0.04203679412603378, 0.44426512718200684], [0.13145816326141357, 0.5765940546989441, 0.024808308109641075, 0.2671394646167755], [0.49465683102607727, 0.4687595069408417, 0.0022401537280529737, 0.034343503415584564], [0.46748828887939453, 0.4982272982597351, 0.002095530740916729, 0.03218892961740494]], [[0.11482095718383789, 0.8270614743232727, 0.04868786409497261, 0.009429695084691048], [0.07351315021514893, 0.8856239318847656, 0.034574881196022034, 0.006288059055805206], [0.45869308710098267, 0.5165426731109619, 0.0013568239519372582, 0.023407338187098503], [0.22892355918884277, 0.7535006999969482, 0.0019715330563485622, 0.015604150481522083]]]","[0.5765940546989441, 0.8856239318847656]","[1, 1]","[1, 1]"
