transition_type,t_prev,t_curr,j,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,emiss_prev_json,emiss_curr_json,emiss_prev_argmax,emiss_curr_argmax,emiss_prev_maxprob,emiss_curr_maxprob
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.9808759689331055, 0.01912403479218483]",0,2,0.5,0.9808759689331055
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.9808759689331055, 0.01912403479218483]",0,2,0.5,0.9808759689331055
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 1.3469032840202626e-33]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.9808759689331055, 0.01912403479218483]",0,2,0.5,0.9808759689331055
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 1.3469032840202626e-33]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",0,3,0.5,1.0
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.9808759689331055, 0.01912403479218483]",0,2,0.5,0.9808759689331055
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 1.3469032840202626e-33]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",0,3,0.5,1.0
silent_to_talk_with_evidence,847,848,3,True,False,0,2,"[0.0, 0.0, 0.9999991655349731, 8.315280410897685e-07]","[0.5, 0.5, 0.0, 0.0]",2,0,0.9999991655349731,0.5
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.9808759689331055, 0.01912403479218483]",0,2,0.5,0.9808759689331055
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 1.3469032840202626e-33]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",0,3,0.5,1.0
silent_to_talk_with_evidence,847,848,3,True,False,0,2,"[0.0, 0.0, 0.9999991655349731, 8.315280410897685e-07]","[0.5, 0.5, 0.0, 0.0]",2,0,0.9999991655349731,0.5
talk_with_evidence_to_silent,929,930,3,False,True,2,0,"[0.5, 0.5, 0.0, 0.0]","[0.5, 0.5, 0.0, 0.0]",0,0,0.5,0.5
