scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
mech_evidence,1,452,0.054011678925573216,0.07840176574063233,206,0
no_mech_evidence,1,3210,0.009520260822822157,0.013576015787160585,2278,0
