transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5487295985221863, 0.1281108856201172, 0.30011382699012756, 0.02304571494460106], [0.5173077583312988, 0.1415979266166687, 0.2645406424999237, 0.07655366510152817], [0.8531441688537598, 0.13456295430660248, 0.009065879508852959, 0.003227068344131112], [0.5876531600952148, 0.3716038763523102, 0.0228542722761631, 0.017888780683279037]], [[0.1624879091978073, 0.5093846321105957, 0.27402156591415405, 0.054105911403894424], [0.1534629762172699, 0.5057264566421509, 0.25485101342201233, 0.08595949411392212], [0.36407026648521423, 0.5433974862098694, 0.000645725813228637, 0.09188652783632278], [0.13669155538082123, 0.836199939250946, 0.0001103402828448452, 0.026998186483979225]]]","[0.8531441688537598, 0.836199939250946]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5487295985221863, 0.1281108856201172, 0.30011382699012756, 0.02304571494460106], [0.5173077583312988, 0.1415979266166687, 0.2645406424999237, 0.07655366510152817], [0.8531441688537598, 0.13456295430660248, 0.009065879508852959, 0.003227068344131112], [0.5876531600952148, 0.3716038763523102, 0.0228542722761631, 0.017888780683279037]], [[0.1624879091978073, 0.5093846321105957, 0.27402156591415405, 0.054105911403894424], [0.1534629762172699, 0.5057264566421509, 0.25485101342201233, 0.08595949411392212], [0.36407026648521423, 0.5433974862098694, 0.000645725813228637, 0.09188652783632278], [0.13669155538082123, 0.836199939250946, 0.0001103402828448452, 0.026998186483979225]]]","[0.8531441688537598, 0.836199939250946]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5487295985221863, 0.1281108856201172, 0.30011382699012756, 0.02304571494460106], [0.5173077583312988, 0.1415979266166687, 0.2645406424999237, 0.07655366510152817], [0.8531441688537598, 0.13456295430660248, 0.009065879508852959, 0.003227068344131112], [0.5876531600952148, 0.3716038763523102, 0.0228542722761631, 0.017888780683279037]], [[0.1624879091978073, 0.5093846321105957, 0.27402156591415405, 0.054105911403894424], [0.1534629762172699, 0.5057264566421509, 0.25485101342201233, 0.08595949411392212], [0.36407026648521423, 0.5433974862098694, 0.000645725813228637, 0.09188652783632278], [0.13669155538082123, 0.836199939250946, 0.0001103402828448452, 0.026998186483979225]]]","[0.8531441688537598, 0.836199939250946]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5487295985221863, 0.1281108856201172, 0.30011382699012756, 0.02304571494460106], [0.5173077583312988, 0.1415979266166687, 0.2645406424999237, 0.07655366510152817], [0.8531441688537598, 0.13456295430660248, 0.009065879508852959, 0.003227068344131112], [0.5876531600952148, 0.3716038763523102, 0.0228542722761631, 0.017888780683279037]], [[0.1624879091978073, 0.5093846321105957, 0.27402156591415405, 0.054105911403894424], [0.1534629762172699, 0.5057264566421509, 0.25485101342201233, 0.08595949411392212], [0.36407026648521423, 0.5433974862098694, 0.000645725813228637, 0.09188652783632278], [0.13669155538082123, 0.836199939250946, 0.0001103402828448452, 0.026998186483979225]]]","[0.8531441688537598, 0.836199939250946]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2791454493999481, 0.48155638575553894, 0.15267157554626465, 0.08662659674882889], [0.21610471606254578, 0.43708017468452454, 0.11051154136657715, 0.23630356788635254], [0.4537160396575928, 0.5287814140319824, 0.004821384325623512, 0.012681156396865845], [0.1684548556804657, 0.7871031761169434, 0.00655133742839098, 0.03789065033197403]], [[0.038616761565208435, 0.8945191502571106, 0.0651237815618515, 0.0017402456142008305], [0.03691863641142845, 0.8989730477333069, 0.061309587210416794, 0.0027986399363726377], [0.0828874260187149, 0.9141344428062439, 0.0001470116840209812, 0.0028311731293797493], [0.02163120172917843, 0.9777730107307434, 1.74611577676842e-05, 0.0005782084772363305]]]","[0.7871031761169434, 0.9777730107307434]","[3, 3]","[1, 1]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5487419366836548, 0.1281035840511322, 0.3001091182231903, 0.023045282810926437], [0.5172943472862244, 0.14159861207008362, 0.26455116271972656, 0.07655590027570724], [0.853145182132721, 0.13456180691719055, 0.009066300466656685, 0.0032267183996737003], [0.5877484679222107, 0.37155553698539734, 0.022827059030532837, 0.017868926748633385]], [[0.1625126451253891, 0.5092450976371765, 0.2741304934024811, 0.054111726582050323], [0.1534578949213028, 0.505781352519989, 0.25480982661247253, 0.08595097064971924], [0.36385366320610046, 0.543714702129364, 0.0006403705338016152, 0.09179121255874634], [0.1368340402841568, 0.8360893130302429, 0.00011018215445801616, 0.026966484263539314]]]","[0.853145182132721, 0.8360893130302429]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5487419366836548, 0.1281035840511322, 0.3001091182231903, 0.023045282810926437], [0.5172943472862244, 0.14159861207008362, 0.26455116271972656, 0.07655590027570724], [0.853145182132721, 0.13456180691719055, 0.009066300466656685, 0.0032267183996737003], [0.5877484679222107, 0.37155553698539734, 0.022827059030532837, 0.017868926748633385]], [[0.1625126451253891, 0.5092450976371765, 0.2741304934024811, 0.054111726582050323], [0.1534578949213028, 0.505781352519989, 0.25480982661247253, 0.08595097064971924], [0.36385366320610046, 0.543714702129364, 0.0006403705338016152, 0.09179121255874634], [0.1368340402841568, 0.8360893130302429, 0.00011018215445801616, 0.026966484263539314]]]","[0.853145182132721, 0.8360893130302429]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5487419366836548, 0.1281035840511322, 0.3001091182231903, 0.023045282810926437], [0.5172943472862244, 0.14159861207008362, 0.26455116271972656, 0.07655590027570724], [0.853145182132721, 0.13456180691719055, 0.009066300466656685, 0.0032267183996737003], [0.5877484679222107, 0.37155553698539734, 0.022827059030532837, 0.017868926748633385]], [[0.1625126451253891, 0.5092450976371765, 0.2741304934024811, 0.054111726582050323], [0.1534578949213028, 0.505781352519989, 0.25480982661247253, 0.08595097064971924], [0.36385366320610046, 0.543714702129364, 0.0006403705338016152, 0.09179121255874634], [0.1368340402841568, 0.8360893130302429, 0.00011018215445801616, 0.026966484263539314]]]","[0.853145182132721, 0.8360893130302429]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5487419366836548, 0.1281035840511322, 0.3001091182231903, 0.023045282810926437], [0.5172943472862244, 0.14159861207008362, 0.26455116271972656, 0.07655590027570724], [0.853145182132721, 0.13456180691719055, 0.009066300466656685, 0.0032267183996737003], [0.5877484679222107, 0.37155553698539734, 0.022827059030532837, 0.017868926748633385]], [[0.1625126451253891, 0.5092450976371765, 0.2741304934024811, 0.054111726582050323], [0.1534578949213028, 0.505781352519989, 0.25480982661247253, 0.08595097064971924], [0.36385366320610046, 0.543714702129364, 0.0006403705338016152, 0.09179121255874634], [0.1368340402841568, 0.8360893130302429, 0.00011018215445801616, 0.026966484263539314]]]","[0.853145182132721, 0.8360893130302429]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.27915874123573303, 0.48154106736183167, 0.15267302095890045, 0.08662717044353485], [0.21609744429588318, 0.4370788633823395, 0.11051508784294128, 0.23630861937999725], [0.4537188708782196, 0.5287796258926392, 0.00482163205742836, 0.01267984602600336], [0.16850323975086212, 0.7870991230010986, 0.0065443506464362144, 0.03785332664847374]], [[0.03863087296485901, 0.8944647312164307, 0.06516353785991669, 0.0017408039420843124], [0.03691423684358597, 0.898993194103241, 0.06129440292716026, 0.0027981207240372896], [0.08279836922883987, 0.9142290949821472, 0.00014572239888366312, 0.0028268794994801283], [0.02165607549250126, 0.9777488708496094, 1.7437994756619446e-05, 0.0005775918252766132]]]","[0.7870991230010986, 0.9777488708496094]","[3, 3]","[1, 1]"
