transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.4253634512424469, 0.23855093121528625, 0.21505166590213776, 0.12103387713432312], [0.46001559495925903, 0.25795552134513855, 0.1851203441619873, 0.0969085544347763], [0.7869242429733276, 0.13563765585422516, 0.04901577904820442, 0.028422240167856216], [0.7953171730041504, 0.13033853471279144, 0.047029510140419006, 0.027314767241477966]], [[0.21541883051395416, 0.3588590621948242, 0.08452367037534714, 0.34119847416877747], [0.18984544277191162, 0.4046519696712494, 0.1081007793545723, 0.2974017858505249], [0.2700952887535095, 0.29687902331352234, 0.012772556394338608, 0.42025312781333923], [0.29669007658958435, 0.2345322221517563, 0.013493120670318604, 0.45528459548950195]]]","[0.7953171730041504, 0.45528459548950195]","[3, 3]","[0, 3]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.4253634512424469, 0.23855093121528625, 0.21505166590213776, 0.12103387713432312], [0.46001559495925903, 0.25795552134513855, 0.1851203441619873, 0.0969085544347763], [0.7869242429733276, 0.13563765585422516, 0.04901577904820442, 0.028422240167856216], [0.7953171730041504, 0.13033853471279144, 0.047029510140419006, 0.027314767241477966]], [[0.21541883051395416, 0.3588590621948242, 0.08452367037534714, 0.34119847416877747], [0.18984544277191162, 0.4046519696712494, 0.1081007793545723, 0.2974017858505249], [0.2700952887535095, 0.29687902331352234, 0.012772556394338608, 0.42025312781333923], [0.29669007658958435, 0.2345322221517563, 0.013493120670318604, 0.45528459548950195]]]","[0.7953171730041504, 0.45528459548950195]","[3, 3]","[0, 3]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.4253634512424469, 0.23855093121528625, 0.21505166590213776, 0.12103387713432312], [0.46001559495925903, 0.25795552134513855, 0.1851203441619873, 0.0969085544347763], [0.7869242429733276, 0.13563765585422516, 0.04901577904820442, 0.028422240167856216], [0.7953171730041504, 0.13033853471279144, 0.047029510140419006, 0.027314767241477966]], [[0.21541883051395416, 0.3588590621948242, 0.08452367037534714, 0.34119847416877747], [0.18984544277191162, 0.4046519696712494, 0.1081007793545723, 0.2974017858505249], [0.2700952887535095, 0.29687902331352234, 0.012772556394338608, 0.42025312781333923], [0.29669007658958435, 0.2345322221517563, 0.013493120670318604, 0.45528459548950195]]]","[0.7953171730041504, 0.45528459548950195]","[3, 3]","[0, 3]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.4253634512424469, 0.23855093121528625, 0.21505166590213776, 0.12103387713432312], [0.46001559495925903, 0.25795552134513855, 0.1851203441619873, 0.0969085544347763], [0.7869242429733276, 0.13563765585422516, 0.04901577904820442, 0.028422240167856216], [0.7953171730041504, 0.13033853471279144, 0.047029510140419006, 0.027314767241477966]], [[0.21541883051395416, 0.3588590621948242, 0.08452367037534714, 0.34119847416877747], [0.18984544277191162, 0.4046519696712494, 0.1081007793545723, 0.2974017858505249], [0.2700952887535095, 0.29687902331352234, 0.012772556394338608, 0.42025312781333923], [0.29669007658958435, 0.2345322221517563, 0.013493120670318604, 0.45528459548950195]]]","[0.7953171730041504, 0.45528459548950195]","[3, 3]","[0, 3]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.12899935245513916, 0.5345612168312073, 0.06521840393543243, 0.27122101187705994], [0.14079609513282776, 0.583380401134491, 0.05665943771600723, 0.21916396915912628], [0.3842051029205322, 0.4893272817134857, 0.023931290954351425, 0.10253626108169556], [0.3962211310863495, 0.47979873418807983, 0.0234297513961792, 0.10055036842823029]], [[0.07186021655797958, 0.8845404386520386, 0.02819572016596794, 0.015403629280626774], [0.057041626423597336, 0.898384690284729, 0.03248034045100212, 0.012093341909348965], [0.10661380738019943, 0.8658943772315979, 0.005041669122874737, 0.02245010808110237], [0.1409607231616974, 0.8233540654182434, 0.006410731468349695, 0.02927447482943535]]]","[0.583380401134491, 0.898384690284729]","[1, 1]","[1, 1]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5496030449867249, 0.11572489887475967, 0.28090840578079224, 0.05376369506120682], [0.5623485445976257, 0.12036684900522232, 0.26507049798965454, 0.052214112132787704], [0.8151990175247192, 0.11501707136631012, 0.0442473404109478, 0.02553653158247471], [0.8172260522842407, 0.11351561546325684, 0.04385032132267952, 0.025407956913113594]], [[0.13884592056274414, 0.4994281530380249, 0.14127086102962494, 0.2204551249742508], [0.12457937002182007, 0.5348003506660461, 0.13442647457122803, 0.20619383454322815], [0.21818308532238007, 0.42632153630256653, 0.014458579942584038, 0.3410367965698242], [0.3234423100948334, 0.1657409518957138, 0.014619480818510056, 0.49619728326797485]]]","[0.8172260522842407, 0.5348003506660461]","[3, 1]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5496030449867249, 0.11572489887475967, 0.28090840578079224, 0.05376369506120682], [0.5623485445976257, 0.12036684900522232, 0.26507049798965454, 0.052214112132787704], [0.8151990175247192, 0.11501707136631012, 0.0442473404109478, 0.02553653158247471], [0.8172260522842407, 0.11351561546325684, 0.04385032132267952, 0.025407956913113594]], [[0.13884592056274414, 0.4994281530380249, 0.14127086102962494, 0.2204551249742508], [0.12457937002182007, 0.5348003506660461, 0.13442647457122803, 0.20619383454322815], [0.21818308532238007, 0.42632153630256653, 0.014458579942584038, 0.3410367965698242], [0.3234423100948334, 0.1657409518957138, 0.014619480818510056, 0.49619728326797485]]]","[0.8172260522842407, 0.5348003506660461]","[3, 1]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5496030449867249, 0.11572489887475967, 0.28090840578079224, 0.05376369506120682], [0.5623485445976257, 0.12036684900522232, 0.26507049798965454, 0.052214112132787704], [0.8151990175247192, 0.11501707136631012, 0.0442473404109478, 0.02553653158247471], [0.8172260522842407, 0.11351561546325684, 0.04385032132267952, 0.025407956913113594]], [[0.13884592056274414, 0.4994281530380249, 0.14127086102962494, 0.2204551249742508], [0.12457937002182007, 0.5348003506660461, 0.13442647457122803, 0.20619383454322815], [0.21818308532238007, 0.42632153630256653, 0.014458579942584038, 0.3410367965698242], [0.3234423100948334, 0.1657409518957138, 0.014619480818510056, 0.49619728326797485]]]","[0.8172260522842407, 0.5348003506660461]","[3, 1]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5496030449867249, 0.11572489887475967, 0.28090840578079224, 0.05376369506120682], [0.5623485445976257, 0.12036684900522232, 0.26507049798965454, 0.052214112132787704], [0.8151990175247192, 0.11501707136631012, 0.0442473404109478, 0.02553653158247471], [0.8172260522842407, 0.11351561546325684, 0.04385032132267952, 0.025407956913113594]], [[0.13884592056274414, 0.4994281530380249, 0.14127086102962494, 0.2204551249742508], [0.12457937002182007, 0.5348003506660461, 0.13442647457122803, 0.20619383454322815], [0.21818308532238007, 0.42632153630256653, 0.014458579942584038, 0.3410367965698242], [0.3234423100948334, 0.1657409518957138, 0.014619480818510056, 0.49619728326797485]]]","[0.8172260522842407, 0.5348003506660461]","[3, 1]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2638678252696991, 0.4105377793312073, 0.134865865111351, 0.19072845578193665], [0.2674501836299896, 0.4229929745197296, 0.12606622278690338, 0.18349070847034454], [0.4295031428337097, 0.4477689862251282, 0.023312557488679886, 0.0994153842329979], [0.43294668197631836, 0.4443618953227997, 0.02323084883391857, 0.09946058690547943]], [[0.03470927104353905, 0.922516942024231, 0.035315465182065964, 0.0074583617970347404], [0.02939176745712757, 0.932309627532959, 0.03171497583389282, 0.006583642214536667], [0.06363045424222946, 0.918692409992218, 0.004216666799038649, 0.013460341840982437], [0.19844500720500946, 0.7513842582702637, 0.008969645947217941, 0.04120109602808952]]]","[0.4477689862251282, 0.932309627532959]","[2, 1]","[1, 1]"
