transition_type,t_prev,t_curr,j,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,emiss_prev_json,emiss_curr_json,emiss_prev_argmax,emiss_curr_argmax,emiss_prev_maxprob,emiss_curr_maxprob
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.00015843621804378927, 0.999841570854187]",0,3,0.5,0.999841570854187
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.00015843621804378927, 0.999841570854187]",0,3,0.5,0.999841570854187
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 2.5667431665741606e-31, 1.0]","[0.5, 0.5, 0.0, 0.0]",3,0,1.0,0.5
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.00015843621804378927, 0.999841570854187]",0,3,0.5,0.999841570854187
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 2.5667431665741606e-31, 1.0]","[0.5, 0.5, 0.0, 0.0]",3,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.0521327220736094e-39]",0,2,0.5,1.0
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.00015843621804378927, 0.999841570854187]",0,3,0.5,0.999841570854187
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 2.5667431665741606e-31, 1.0]","[0.5, 0.5, 0.0, 0.0]",3,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.0521327220736094e-39]",0,2,0.5,1.0
silent_to_talk_with_evidence,847,848,3,True,False,0,2,"[0.0, 0.0, 1.6918978718027944e-10, 1.0]","[0.5, 0.5, 0.0, 0.0]",3,0,1.0,0.5
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 0.00015843621804378927, 0.999841570854187]",0,3,0.5,0.999841570854187
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 2.5667431665741606e-31, 1.0]","[0.5, 0.5, 0.0, 0.0]",3,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.0521327220736094e-39]",0,2,0.5,1.0
silent_to_talk_with_evidence,847,848,3,True,False,0,2,"[0.0, 0.0, 1.6918978718027944e-10, 1.0]","[0.5, 0.5, 0.0, 0.0]",3,0,1.0,0.5
talk_with_evidence_to_silent,929,930,3,False,True,2,0,"[0.5, 0.5, 0.0, 0.0]","[0.5, 0.5, 0.0, 0.0]",0,0,0.5,0.5
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]",0,2,0.5,1.0
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]",0,2,0.5,1.0
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 4.762313391527277e-38]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]",0,2,0.5,1.0
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 4.762313391527277e-38]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]",0,2,0.5,1.0
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]",0,2,0.5,1.0
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 4.762313391527277e-38]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]",0,2,0.5,1.0
silent_to_talk_with_evidence,847,848,3,True,False,0,2,"[0.0, 0.0, 1.0, 0.0]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]",0,2,0.5,1.0
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 4.762313391527277e-38]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]",0,2,0.5,1.0
silent_to_talk_with_evidence,847,848,3,True,False,0,2,"[0.0, 0.0, 1.0, 0.0]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_with_evidence_to_silent,929,930,3,False,True,2,0,"[0.5, 0.5, 0.0, 0.0]","[0.5, 0.5, 0.0, 0.0]",0,0,0.5,0.5
