iter,t,j,argmax_state,max_prob
,55,3,0,0.76480436
,56,0,0,0.98564476
,56,1,1,0.9265387
,56,2,0,0.9683361
,56,3,3,1.0
,57,0,0,0.9142585
,57,1,3,1.0
,57,2,0,0.99336284
,57,3,0,0.5110466
,58,0,2,1.0
,58,1,1,0.9617892
,58,2,0,0.99677485
,58,3,0,0.74096286
,59,0,1,0.590954
,59,1,3,1.0
,59,2,0,0.99721605
,59,3,0,0.7002259
,60,0,1,0.53196156
,60,1,1,0.7424784
,60,2,0,0.99709815
,60,3,3,1.0
,61,0,2,1.0
,61,1,1,0.6492237
,61,2,0,0.9957758
,61,3,0,0.64650846
,62,0,1,0.98598814
,62,1,2,1.0
,62,2,0,0.9860233
,62,3,0,0.94944507
,63,0,2,1.0
,63,1,0,0.6982363
,63,2,0,0.9145514
,63,3,0,0.9907858
,64,0,1,0.9049728
,64,1,0,0.8529352
,64,2,2,1.0
,64,3,0,0.996427
,65,0,2,1.0
,65,1,0,0.8115568
,65,2,0,0.69823635
,65,3,0,0.99719346
,66,0,1,0.9049728
,66,1,2,1.0
,66,2,0,0.8529352
,66,3,0,0.9972738
,67,0,2,1.0
,67,1,0,0.7831344
,67,2,0,0.8115567
,67,3,0,0.99710643
,68,0,1,0.9049728
,68,1,0,0.9659301
,68,2,2,1.0
,68,3,0,0.99577737
,69,0,2,1.0
,69,1,0,0.98957235
,69,2,1,0.9049728
,69,3,0,0.986024
,70,0,1,0.76153016
,70,1,0,0.98324865
,70,2,2,1.0
,70,3,0,0.91455203
,71,0,0,0.6472837
,71,1,0,0.9124042
,71,2,0,0.6759394
,71,3,2,1.0
,72,0,0,0.6524066
,72,1,2,1.0
,72,2,0,0.8232592
,72,3,0,0.7849419
,73,0,2,1.0
,73,1,0,0.7849427
,73,2,0,0.7648043
,73,3,0,0.96833575
,74,0,1,0.9049728
,74,1,0,0.9683368
,74,2,3,1.0
,74,3,0,0.99336237
,75,0,2,1.0
,75,1,0,0.99336416
,75,2,1,0.9500133
,75,3,0,0.9967735
,76,0,1,0.9049728
,76,1,0,0.9967795
,76,2,2,1.0
,76,3,0,0.9972074
,77,0,2,1.0
,77,1,0,0.99724555
,77,2,1,0.9049728
,77,3,0,0.99703515
,78,0,1,0.9265387
,78,1,0,0.99730855
,78,2,2,1.0
,78,3,0,0.9953161
,79,0,3,1.0
,79,1,0,0.99731284
,79,2,0,0.7849427
,79,3,0,0.9826569
,80,0,2,1.0
,80,1,0,0.9972818
,80,2,0,0.9683368
,80,3,0,0.8898847
,81,0,1,0.9049728
,81,1,0,0.9970462
,81,2,0,0.9933638
,81,3,3,1.0
,82,0,2,1.0
,82,1,0,0.9953184
,82,2,0,0.99677867
,82,3,1,0.9617892
,83,0,1,0.9265387
,83,1,0,0.98265815
,83,2,0,0.9972403
,83,3,3,1.0
,84,0,3,1.0
,84,1,0,0.88988566
,84,2,0,0.9972717
,84,3,0,0.53691614
,85,0,1,0.9500134
,85,1,3,1.0
,85,2,0,0.9970446
,85,3,0,0.78077745
,86,0,2,1.0
,86,1,0,0.644064
,86,2,0,0.9953182
,86,3,0,0.75571513
,87,0,1,0.9049728
,87,1,0,0.9456829
,87,2,0,0.9826579
,87,3,2,1.0
,88,0,2,1.0
,88,1,0,0.98554254
,88,2,0,0.8898855
,88,3,0,0.7831344
,89,0,1,0.9049728
,89,1,0,0.98144615
,89,2,3,1.0
,89,3,0,0.9659301
,90,0,2,1.0
,90,1,0,0.91100925
,90,2,0,0.6464629
,90,3,0,0.98957235
,91,0,1,0.9265387
,91,1,2,1.0
,91,2,0,0.9493748
,91,3,0,0.98324865
,92,0,3,1.0
,92,1,0,0.6982363
,92,2,0,0.9906881
,92,3,0,0.9124042
,93,0,1,0.9617892
,93,1,0,0.8529352
,93,2,0,0.9961477
,93,3,2,1.0
,94,0,3,1.0
,94,1,0,0.8115568
,94,2,0,0.99558663
,94,3,0,0.78259706
,95,0,1,0.950014
,95,1,2,1.0
,95,2,0,0.98593867
,95,3,0,0.96521485
,96,0,2,0.9999498
,96,1,0,0.78259706
,96,2,0,0.914486
,96,3,0,0.9884457
,97,0,1,0.9049635
,97,1,0,0.96521485
,97,2,2,1.0
,97,3,0,0.9792279
,98,0,2,1.0
,98,1,0,0.9884457
,98,2,0,0.7849427
,98,3,0,0.887194
,99,0,1,0.9265387
,99,1,0,0.9792279
,99,2,0,0.9683368
,99,3,3,1.0
,100,0,3,1.0
,100,1,0,0.887194
,100,2,0,0.99336404
,100,3,1,0.7424784
,101,0,0,0.6290109
,101,1,3,0.99999964
,101,2,0,0.9967789
,101,3,1,0.6492237
,102,0,0,0.9225156
,102,1,1,0.9617892
,102,2,0,0.9972415
,102,3,2,1.0
,103,0,0,0.95325434
,103,1,3,1.0
,103,2,0,0.9972805
,103,3,1,0.98598814
,104,0,0,0.88919204
,104,1,1,0.7821285
,104,2,0,0.9971074
,104,3,2,1.0
,105,0,2,1.0
,105,1,1,0.71024704
,105,2,0,0.9957775
,105,3,1,0.64270735
,106,0,0,0.7718795
,106,1,3,1.0
,106,2,0,0.98602426
,106,3,1,0.6008424
,107,0,0,0.95095044
,107,1,1,0.7424784
,107,2,0,0.91455203
,107,3,3,1.0
,108,0,0,0.96597296
,108,1,1,0.6492237
,108,2,2,1.0
,108,3,0,0.6290109
,109,0,0,0.8990341
,109,1,2,1.0
,109,2,0,0.7849427
,109,3,0,0.9225156
,110,0,2,0.99996483
,110,1,0,0.7718797
,110,2,0,0.9683368
,110,3,0,0.95325434
,111,0,3,1.0
,111,1,0,0.95095056
,111,2,0,0.99336404
,111,3,0,0.88919204
,112,0,1,0.9617892
,112,1,0,0.9659733
,112,2,0,0.9967796
,112,3,2,1.0
,113,0,3,1.0
,113,1,0,0.89903504
,113,2,0,0.99724555
,113,3,1,0.590954
,114,0,0,0.6239765
,114,1,2,1.0
,114,2,0,0.99730927
,114,3,1,0.53196156
,115,0,0,0.9147674
,115,1,1,0.9049728
,115,2,0,0.9973178
,115,3,2,1.0
,116,0,0,0.9424558
,116,1,2,0.9999999
,116,2,0,0.9973185
,116,3,1,0.9049728
,117,0,0,0.8583387
,117,1,0,0.7718797
,117,2,0,0.9973152
,117,3,2,1.0
,118,0,3,1.0
,118,1,0,0.95095056
,118,2,0,0.9972905
,118,3,1,0.9049728
,119,0,1,0.9500134
,119,1,0,0.9659733
,119,2,0,0.9971088
,119,3,2,1.0
,120,0,2,1.0
,120,1,0,0.89903504
,120,2,0,0.99577796
,120,3,1,0.590954
,121,0,0,0.7831344
,121,1,2,1.0
,121,2,0,0.98602426
,121,3,1,0.5319616
,122,0,0,0.9659301
,122,1,1,0.91434735
,122,2,0,0.9145523
,122,3,2,1.0
,123,0,0,0.98957235
,123,1,1,0.7822302
,123,2,2,1.0
,123,3,0,0.7718797
,124,0,0,0.98324865
,124,1,2,1.0
,124,2,1,0.9049728
,124,3,0,0.95095056
,125,0,0,0.9124042
,125,1,0,0.7718797
,125,2,2,1.0
,125,3,0,0.9659733
,126,0,2,1.0
,126,1,0,0.95095056
,126,2,1,0.69052166
,126,3,0,0.89903504
,127,0,1,0.9049728
,127,1,0,0.9659733
,127,2,0,0.8468628
,127,3,2,1.0
,128,0,2,1.0
,128,1,0,0.89903504
,128,2,0,0.9085654
,128,3,0,0.7849427
,129,0,0,0.78259706
,129,1,2,1.0
,129,2,0,0.8317446
,129,3,0,0.9683368
,130,0,0,0.96521485
,130,1,1,0.98598814
,130,2,3,1.0
,130,3,0,0.99336416
,131,0,0,0.9884457
,131,1,2,1.0
,131,2,1,0.9617892
,131,3,0,0.9967795
,132,0,0,0.9792279
,132,1,1,0.9265387
,132,2,3,1.0
,132,3,0,0.99724567
,133,0,0,0.887194
,133,1,3,1.0
,133,2,0,0.6464629
,133,3,0,0.99730927
,134,0,3,0.9999999
,134,1,1,0.9617892
,134,2,0,0.9493748
,134,3,0,0.9973179
,135,0,1,0.9500134
,135,1,3,0.99999964
,135,2,0,0.9906881
,135,3,0,0.9973191
,136,0,2,1.0
,136,1,1,0.9617892
,136,2,0,0.9961477
,136,3,0,0.9973192
,137,0,1,0.9049728
,137,1,3,1.0
,137,2,0,0.99558663
