scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
mech_evidence,1,452,0.39400661621341665,0.15441873628051578,1,0
no_mech_evidence,1,3210,0.0578224654927432,0.028027601526575508,6,0
