transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5546764135360718, 0.11166924983263016, 0.2900920808315277, 0.04356230050325394], [0.5585207939147949, 0.11378753185272217, 0.283708781003952, 0.0439828559756279], [0.7564170956611633, 0.10621356964111328, 0.10016383230686188, 0.03720558434724808], [0.7578237056732178, 0.10531806945800781, 0.09975849837064743, 0.03709964454174042]], [[0.11805903911590576, 0.4671020805835724, 0.11735033988952637, 0.29748857021331787], [0.10804165154695511, 0.5081804394721985, 0.10965714603662491, 0.2741207778453827], [0.17099924385547638, 0.37538695335388184, 0.020917924121022224, 0.4326958656311035], [0.20672625303268433, 0.25322988629341125, 0.024300627410411835, 0.5157432556152344]]]","[0.7578237056732178, 0.5157432556152344]","[3, 3]","[0, 3]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5546764135360718, 0.11166924983263016, 0.2900920808315277, 0.04356230050325394], [0.5585207939147949, 0.11378753185272217, 0.283708781003952, 0.0439828559756279], [0.7564170956611633, 0.10621356964111328, 0.10016383230686188, 0.03720558434724808], [0.7578237056732178, 0.10531806945800781, 0.09975849837064743, 0.03709964454174042]], [[0.11805903911590576, 0.4671020805835724, 0.11735033988952637, 0.29748857021331787], [0.10804165154695511, 0.5081804394721985, 0.10965714603662491, 0.2741207778453827], [0.17099924385547638, 0.37538695335388184, 0.020917924121022224, 0.4326958656311035], [0.20672625303268433, 0.25322988629341125, 0.024300627410411835, 0.5157432556152344]]]","[0.7578237056732178, 0.5157432556152344]","[3, 3]","[0, 3]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5546764135360718, 0.11166924983263016, 0.2900920808315277, 0.04356230050325394], [0.5585207939147949, 0.11378753185272217, 0.283708781003952, 0.0439828559756279], [0.7564170956611633, 0.10621356964111328, 0.10016383230686188, 0.03720558434724808], [0.7578237056732178, 0.10531806945800781, 0.09975849837064743, 0.03709964454174042]], [[0.11805903911590576, 0.4671020805835724, 0.11735033988952637, 0.29748857021331787], [0.10804165154695511, 0.5081804394721985, 0.10965714603662491, 0.2741207778453827], [0.17099924385547638, 0.37538695335388184, 0.020917924121022224, 0.4326958656311035], [0.20672625303268433, 0.25322988629341125, 0.024300627410411835, 0.5157432556152344]]]","[0.7578237056732178, 0.5157432556152344]","[3, 3]","[0, 3]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5546764135360718, 0.11166924983263016, 0.2900920808315277, 0.04356230050325394], [0.5585207939147949, 0.11378753185272217, 0.283708781003952, 0.0439828559756279], [0.7564170956611633, 0.10621356964111328, 0.10016383230686188, 0.03720558434724808], [0.7578237056732178, 0.10531806945800781, 0.09975849837064743, 0.03709964454174042]], [[0.11805903911590576, 0.4671020805835724, 0.11735033988952637, 0.29748857021331787], [0.10804165154695511, 0.5081804394721985, 0.10965714603662491, 0.2741207778453827], [0.17099924385547638, 0.37538695335388184, 0.020917924121022224, 0.4326958656311035], [0.20672625303268433, 0.25322988629341125, 0.024300627410411835, 0.5157432556152344]]]","[0.7578237056732178, 0.5157432556152344]","[3, 3]","[0, 3]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2784823179244995, 0.4142671525478363, 0.145644411444664, 0.1616060882806778], [0.27814728021621704, 0.4187154769897461, 0.14128895103931427, 0.16184821724891663], [0.3947252631187439, 0.40954580903053284, 0.05226903036236763, 0.14345994591712952], [0.3967840373516083, 0.40745335817337036, 0.052231911569833755, 0.14353063702583313]], [[0.03167572245001793, 0.9260365962982178, 0.03148558735847473, 0.010802113451063633], [0.026944594457745552, 0.936456024646759, 0.02734747715294361, 0.009251955896615982], [0.05654303729534149, 0.9171769022941589, 0.006916773039847612, 0.019363271072506905], [0.09517981857061386, 0.8614956736564636, 0.011188363656401634, 0.03213614225387573]]]","[0.4187154769897461, 0.936456024646759]","[1, 1]","[1, 1]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5546764135360718, 0.11166924983263016, 0.2900920808315277, 0.04356230050325394], [0.5585207939147949, 0.11378753185272217, 0.283708781003952, 0.0439828559756279], [0.7564170956611633, 0.10621356964111328, 0.10016383230686188, 0.03720558434724808], [0.7578237056732178, 0.10531806945800781, 0.09975849837064743, 0.03709964454174042]], [[0.11805903911590576, 0.4671020805835724, 0.11735033988952637, 0.29748857021331787], [0.10804165154695511, 0.5081804394721985, 0.10965714603662491, 0.2741207778453827], [0.17099924385547638, 0.37538695335388184, 0.020917924121022224, 0.4326958656311035], [0.20672625303268433, 0.25322988629341125, 0.024300627410411835, 0.5157432556152344]]]","[0.7578237056732178, 0.5157432556152344]","[3, 3]","[0, 3]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5546764135360718, 0.11166924983263016, 0.2900920808315277, 0.04356230050325394], [0.5585207939147949, 0.11378753185272217, 0.283708781003952, 0.0439828559756279], [0.7564170956611633, 0.10621356964111328, 0.10016383230686188, 0.03720558434724808], [0.7578237056732178, 0.10531806945800781, 0.09975849837064743, 0.03709964454174042]], [[0.11805903911590576, 0.4671020805835724, 0.11735033988952637, 0.29748857021331787], [0.10804165154695511, 0.5081804394721985, 0.10965714603662491, 0.2741207778453827], [0.17099924385547638, 0.37538695335388184, 0.020917924121022224, 0.4326958656311035], [0.20672625303268433, 0.25322988629341125, 0.024300627410411835, 0.5157432556152344]]]","[0.7578237056732178, 0.5157432556152344]","[3, 3]","[0, 3]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5546764135360718, 0.11166924983263016, 0.2900920808315277, 0.04356230050325394], [0.5585207939147949, 0.11378753185272217, 0.283708781003952, 0.0439828559756279], [0.7564170956611633, 0.10621356964111328, 0.10016383230686188, 0.03720558434724808], [0.7578237056732178, 0.10531806945800781, 0.09975849837064743, 0.03709964454174042]], [[0.11805903911590576, 0.4671020805835724, 0.11735033988952637, 0.29748857021331787], [0.10804165154695511, 0.5081804394721985, 0.10965714603662491, 0.2741207778453827], [0.17099924385547638, 0.37538695335388184, 0.020917924121022224, 0.4326958656311035], [0.20672625303268433, 0.25322988629341125, 0.024300627410411835, 0.5157432556152344]]]","[0.7578237056732178, 0.5157432556152344]","[3, 3]","[0, 3]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5546764135360718, 0.11166924983263016, 0.2900920808315277, 0.04356230050325394], [0.5585207939147949, 0.11378753185272217, 0.283708781003952, 0.0439828559756279], [0.7564170956611633, 0.10621356964111328, 0.10016383230686188, 0.03720558434724808], [0.7578237056732178, 0.10531806945800781, 0.09975849837064743, 0.03709964454174042]], [[0.11805903911590576, 0.4671020805835724, 0.11735033988952637, 0.29748857021331787], [0.10804165154695511, 0.5081804394721985, 0.10965714603662491, 0.2741207778453827], [0.17099924385547638, 0.37538695335388184, 0.020917924121022224, 0.4326958656311035], [0.20672625303268433, 0.25322988629341125, 0.024300627410411835, 0.5157432556152344]]]","[0.7578237056732178, 0.5157432556152344]","[3, 3]","[0, 3]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2784823179244995, 0.4142671525478363, 0.145644411444664, 0.1616060882806778], [0.27814728021621704, 0.4187154769897461, 0.14128895103931427, 0.16184821724891663], [0.3947252631187439, 0.40954580903053284, 0.05226903036236763, 0.14345994591712952], [0.3967840373516083, 0.40745335817337036, 0.052231911569833755, 0.14353063702583313]], [[0.03167572245001793, 0.9260365962982178, 0.03148558735847473, 0.010802113451063633], [0.026944594457745552, 0.936456024646759, 0.02734747715294361, 0.009251955896615982], [0.05654303729534149, 0.9171769022941589, 0.006916773039847612, 0.019363271072506905], [0.09517981857061386, 0.8614956736564636, 0.011188363656401634, 0.03213614225387573]]]","[0.4187154769897461, 0.936456024646759]","[1, 1]","[1, 1]"
