scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
mech_evidence,1,452,0.8317400151451605,0.22043799522903096,1,9
no_mech_evidence,1,3210,0.7609667317077192,0.261929695988674,6,35
