k,want_evidence,N_pairs,D,mean_loglik,mean_loglik_under_k0_silent,N_to_silence,mean_loglik_to_silence
2,False,1440,128,220.03078760869232,-90.86142617177468,1705,184.02861973431925
3,True,265,128,230.59263174844008,-185.26650976530718,1705,129.36390717170158
2,False,1440,128,220.03078760869232,-90.86142617177468,1705,184.02861973431925
3,True,265,128,230.59263174844008,-185.26650976530718,1705,129.36390717170158
