transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5390607118606567, 0.13894453644752502, 0.27770885825157166, 0.04428596794605255], [0.5160790681838989, 0.1411510407924652, 0.2837965488433838, 0.0589732751250267], [0.8325276970863342, 0.15223151445388794, 0.011378771625459194, 0.00386206922121346], [0.865336537361145, 0.12759484350681305, 0.004259428940713406, 0.002809144789353013]], [[0.1667417585849762, 0.5060283541679382, 0.24946841597557068, 0.0777614638209343], [0.15906201303005219, 0.4989069104194641, 0.2699696123600006, 0.07206147909164429], [0.27085843682289124, 0.6690092086791992, 0.00043672556057572365, 0.05969567596912384], [0.7509361505508423, 0.14007379114627838, 0.00044268547208048403, 0.10854737460613251]]]","[0.865336537361145, 0.7509361505508423]","[3, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5390607118606567, 0.13894453644752502, 0.27770885825157166, 0.04428596794605255], [0.5160790681838989, 0.1411510407924652, 0.2837965488433838, 0.0589732751250267], [0.8325276970863342, 0.15223151445388794, 0.011378771625459194, 0.00386206922121346], [0.865336537361145, 0.12759484350681305, 0.004259428940713406, 0.002809144789353013]], [[0.1667417585849762, 0.5060283541679382, 0.24946841597557068, 0.0777614638209343], [0.15906201303005219, 0.4989069104194641, 0.2699696123600006, 0.07206147909164429], [0.27085843682289124, 0.6690092086791992, 0.00043672556057572365, 0.05969567596912384], [0.7509361505508423, 0.14007379114627838, 0.00044268547208048403, 0.10854737460613251]]]","[0.865336537361145, 0.7509361505508423]","[3, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5390607118606567, 0.13894453644752502, 0.27770885825157166, 0.04428596794605255], [0.5160790681838989, 0.1411510407924652, 0.2837965488433838, 0.0589732751250267], [0.8325276970863342, 0.15223151445388794, 0.011378771625459194, 0.00386206922121346], [0.865336537361145, 0.12759484350681305, 0.004259428940713406, 0.002809144789353013]], [[0.1667417585849762, 0.5060283541679382, 0.24946841597557068, 0.0777614638209343], [0.15906201303005219, 0.4989069104194641, 0.2699696123600006, 0.07206147909164429], [0.27085843682289124, 0.6690092086791992, 0.00043672556057572365, 0.05969567596912384], [0.7509361505508423, 0.14007379114627838, 0.00044268547208048403, 0.10854737460613251]]]","[0.865336537361145, 0.7509361505508423]","[3, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5390607118606567, 0.13894453644752502, 0.27770885825157166, 0.04428596794605255], [0.5160790681838989, 0.1411510407924652, 0.2837965488433838, 0.0589732751250267], [0.8325276970863342, 0.15223151445388794, 0.011378771625459194, 0.00386206922121346], [0.865336537361145, 0.12759484350681305, 0.004259428940713406, 0.002809144789353013]], [[0.1667417585849762, 0.5060283541679382, 0.24946841597557068, 0.0777614638209343], [0.15906201303005219, 0.4989069104194641, 0.2699696123600006, 0.07206147909164429], [0.27085843682289124, 0.6690092086791992, 0.00043672556057572365, 0.05969567596912384], [0.7509361505508423, 0.14007379114627838, 0.00044268547208048403, 0.10854737460613251]]]","[0.865336537361145, 0.7509361505508423]","[3, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.24833837151527405, 0.4729732871055603, 0.1279369294643402, 0.15075135231018066], [0.22648897767066956, 0.4577242136001587, 0.12454835325479507, 0.1912384182214737], [0.4168284833431244, 0.563186526298523, 0.0056971050798892975, 0.014287875033915043], [0.472046822309494, 0.5143066048622131, 0.0023235464468598366, 0.01132304035127163]], [[0.04002629220485687, 0.8975627422332764, 0.059884797781705856, 0.0025262509007006884], [0.03855828568339348, 0.8936342597007751, 0.06544345617294312, 0.002364098560065031], [0.051861558109521866, 0.9465078711509705, 8.362036169273779e-05, 0.0015468817437067628], [0.41693609952926636, 0.5746617913246155, 0.00024578857119195163, 0.00815636944025755]]]","[0.563186526298523, 0.9465078711509705]","[2, 2]","[1, 1]"
