transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5503703951835632, 0.1254105418920517, 0.2787622809410095, 0.04545681178569794], [0.5332303643226624, 0.12776190042495728, 0.28207069635391235, 0.05693703144788742], [0.8271627426147461, 0.13330714404582977, 0.02106509730219841, 0.0184650681912899], [0.8451269268989563, 0.1193801537156105, 0.018731366842985153, 0.01676156371831894]], [[0.12502039968967438, 0.5426366925239563, 0.17056040465831757, 0.16178250312805176], [0.12385579198598862, 0.5354890823364258, 0.17497198283672333, 0.1656830757856369], [0.17771415412425995, 0.648304283618927, 0.003898350056260824, 0.1700831949710846], [0.4109353721141815, 0.19019800424575806, 0.007317573297768831, 0.3915490508079529]]]","[0.8451269268989563, 0.648304283618927]","[3, 2]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5503703951835632, 0.1254105418920517, 0.2787622809410095, 0.04545681178569794], [0.5332303643226624, 0.12776190042495728, 0.28207069635391235, 0.05693703144788742], [0.8271627426147461, 0.13330714404582977, 0.02106509730219841, 0.0184650681912899], [0.8451269268989563, 0.1193801537156105, 0.018731366842985153, 0.01676156371831894]], [[0.12502039968967438, 0.5426366925239563, 0.17056040465831757, 0.16178250312805176], [0.12385579198598862, 0.5354890823364258, 0.17497198283672333, 0.1656830757856369], [0.17771415412425995, 0.648304283618927, 0.003898350056260824, 0.1700831949710846], [0.4109353721141815, 0.19019800424575806, 0.007317573297768831, 0.3915490508079529]]]","[0.8451269268989563, 0.648304283618927]","[3, 2]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5503703951835632, 0.1254105418920517, 0.2787622809410095, 0.04545681178569794], [0.5332303643226624, 0.12776190042495728, 0.28207069635391235, 0.05693703144788742], [0.8271627426147461, 0.13330714404582977, 0.02106509730219841, 0.0184650681912899], [0.8451269268989563, 0.1193801537156105, 0.018731366842985153, 0.01676156371831894]], [[0.12502039968967438, 0.5426366925239563, 0.17056040465831757, 0.16178250312805176], [0.12385579198598862, 0.5354890823364258, 0.17497198283672333, 0.1656830757856369], [0.17771415412425995, 0.648304283618927, 0.003898350056260824, 0.1700831949710846], [0.4109353721141815, 0.19019800424575806, 0.007317573297768831, 0.3915490508079529]]]","[0.8451269268989563, 0.648304283618927]","[3, 2]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5503703951835632, 0.1254105418920517, 0.2787622809410095, 0.04545681178569794], [0.5332303643226624, 0.12776190042495728, 0.28207069635391235, 0.05693703144788742], [0.8271627426147461, 0.13330714404582977, 0.02106509730219841, 0.0184650681912899], [0.8451269268989563, 0.1193801537156105, 0.018731366842985153, 0.01676156371831894]], [[0.12502039968967438, 0.5426366925239563, 0.17056040465831757, 0.16178250312805176], [0.12385579198598862, 0.5354890823364258, 0.17497198283672333, 0.1656830757856369], [0.17771415412425995, 0.648304283618927, 0.003898350056260824, 0.1700831949710846], [0.4109353721141815, 0.19019800424575806, 0.007317573297768831, 0.3915490508079529]]]","[0.8451269268989563, 0.648304283618927]","[3, 2]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.26312342286109924, 0.44302427768707275, 0.13327187299728394, 0.16058039665222168], [0.24459528923034668, 0.4330355226993561, 0.12938715517520905, 0.19298206269741058], [0.41994747519493103, 0.5000880360603333, 0.010694672353565693, 0.06926979124546051], [0.4519837498664856, 0.47176095843315125, 0.010017754510045052, 0.06623756885528564]], [[0.0288927610963583, 0.9266299605369568, 0.03941725939512253, 0.0050600022077560425], [0.0289517380297184, 0.9249064922332764, 0.040900327265262604, 0.005241401493549347], [0.03557850047945976, 0.9590327739715576, 0.0007804521010257304, 0.00460827024653554], [0.21897552907466888, 0.7488881349563599, 0.0038993225898593664, 0.02823704481124878]]]","[0.5000880360603333, 0.9590327739715576]","[2, 2]","[1, 1]"
