transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.4993583559989929, 0.14516107738018036, 0.3278796672821045, 0.027600904926657677], [0.5312999486923218, 0.2209050953388214, 0.1416155844926834, 0.10617941617965698], [0.9092181921005249, 0.08309928327798843, 0.006494252476841211, 0.0011882036924362183], [0.6744378209114075, 0.32096627354621887, 0.0004080164071638137, 0.004187805578112602]], [[0.387132465839386, 0.29855355620384216, 0.22504809498786926, 0.0892658531665802], [0.29167234897613525, 0.3528648614883423, 0.1836935132741928, 0.17176927626132965], [0.8065352439880371, 0.09303257614374161, 0.04273504018783569, 0.05769713222980499], [0.4156244397163391, 0.5204674601554871, 0.013067957945168018, 0.050840113312006]]]","[0.9092181921005249, 0.8065352439880371]","[2, 2]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.4993583559989929, 0.14516107738018036, 0.3278796672821045, 0.027600904926657677], [0.5312999486923218, 0.2209050953388214, 0.1416155844926834, 0.10617941617965698], [0.9092181921005249, 0.08309928327798843, 0.006494252476841211, 0.0011882036924362183], [0.6744378209114075, 0.32096627354621887, 0.0004080164071638137, 0.004187805578112602]], [[0.387132465839386, 0.29855355620384216, 0.22504809498786926, 0.0892658531665802], [0.29167234897613525, 0.3528648614883423, 0.1836935132741928, 0.17176927626132965], [0.8065352439880371, 0.09303257614374161, 0.04273504018783569, 0.05769713222980499], [0.4156244397163391, 0.5204674601554871, 0.013067957945168018, 0.050840113312006]]]","[0.9092181921005249, 0.8065352439880371]","[2, 2]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.4993583559989929, 0.14516107738018036, 0.3278796672821045, 0.027600904926657677], [0.5312999486923218, 0.2209050953388214, 0.1416155844926834, 0.10617941617965698], [0.9092181921005249, 0.08309928327798843, 0.006494252476841211, 0.0011882036924362183], [0.6744378209114075, 0.32096627354621887, 0.0004080164071638137, 0.004187805578112602]], [[0.387132465839386, 0.29855355620384216, 0.22504809498786926, 0.0892658531665802], [0.29167234897613525, 0.3528648614883423, 0.1836935132741928, 0.17176927626132965], [0.8065352439880371, 0.09303257614374161, 0.04273504018783569, 0.05769713222980499], [0.4156244397163391, 0.5204674601554871, 0.013067957945168018, 0.050840113312006]]]","[0.9092181921005249, 0.8065352439880371]","[2, 2]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.4993583559989929, 0.14516107738018036, 0.3278796672821045, 0.027600904926657677], [0.5312999486923218, 0.2209050953388214, 0.1416155844926834, 0.10617941617965698], [0.9092181921005249, 0.08309928327798843, 0.006494252476841211, 0.0011882036924362183], [0.6744378209114075, 0.32096627354621887, 0.0004080164071638137, 0.004187805578112602]], [[0.387132465839386, 0.29855355620384216, 0.22504809498786926, 0.0892658531665802], [0.29167234897613525, 0.3528648614883423, 0.1836935132741928, 0.17176927626132965], [0.8065352439880371, 0.09303257614374161, 0.04273504018783569, 0.05769713222980499], [0.4156244397163391, 0.5204674601554871, 0.013067957945168018, 0.050840113312006]]]","[0.9092181921005249, 0.8065352439880371]","[2, 2]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.23736174404621124, 0.5098443031311035, 0.15585218369960785, 0.09694171696901321], [0.17195500433444977, 0.5282868146896362, 0.04583382233977318, 0.2539243996143341], [0.5909703373908997, 0.39910194277763367, 0.004221112933009863, 0.0057066031731665134], [0.2191563844680786, 0.7706559896469116, 0.0001325836346950382, 0.010055131278932095]], [[0.13678190112113953, 0.7794356346130371, 0.07951413840055466, 0.0042684017680585384], [0.09390760213136673, 0.8394654393196106, 0.05914244428277016, 0.007484482601284981], [0.5221977233886719, 0.445077508687973, 0.027669144794344902, 0.005055650137364864], [0.09707820415496826, 0.8982623219490051, 0.003052306594327092, 0.0016070825513452291]]]","[0.7706559896469116, 0.8982623219490051]","[3, 3]","[1, 1]"
