transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5487419366836548, 0.1281035840511322, 0.3001091182231903, 0.023045282810926437], [0.5172943472862244, 0.14159861207008362, 0.26455116271972656, 0.07655590027570724], [0.853145182132721, 0.13456180691719055, 0.009066300466656685, 0.0032267183996737003], [0.5877484679222107, 0.37155553698539734, 0.022827059030532837, 0.017868926748633385]], [[0.1625126451253891, 0.5092450976371765, 0.2741304934024811, 0.054111726582050323], [0.1534578949213028, 0.505781352519989, 0.25480982661247253, 0.08595097064971924], [0.36385366320610046, 0.543714702129364, 0.0006403705338016152, 0.09179121255874634], [0.1368340402841568, 0.8360893130302429, 0.00011018215445801616, 0.026966484263539314]]]","[0.853145182132721, 0.8360893130302429]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5487419366836548, 0.1281035840511322, 0.3001091182231903, 0.023045282810926437], [0.5172943472862244, 0.14159861207008362, 0.26455116271972656, 0.07655590027570724], [0.853145182132721, 0.13456180691719055, 0.009066300466656685, 0.0032267183996737003], [0.5877484679222107, 0.37155553698539734, 0.022827059030532837, 0.017868926748633385]], [[0.1625126451253891, 0.5092450976371765, 0.2741304934024811, 0.054111726582050323], [0.1534578949213028, 0.505781352519989, 0.25480982661247253, 0.08595097064971924], [0.36385366320610046, 0.543714702129364, 0.0006403705338016152, 0.09179121255874634], [0.1368340402841568, 0.8360893130302429, 0.00011018215445801616, 0.026966484263539314]]]","[0.853145182132721, 0.8360893130302429]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5487419366836548, 0.1281035840511322, 0.3001091182231903, 0.023045282810926437], [0.5172943472862244, 0.14159861207008362, 0.26455116271972656, 0.07655590027570724], [0.853145182132721, 0.13456180691719055, 0.009066300466656685, 0.0032267183996737003], [0.5877484679222107, 0.37155553698539734, 0.022827059030532837, 0.017868926748633385]], [[0.1625126451253891, 0.5092450976371765, 0.2741304934024811, 0.054111726582050323], [0.1534578949213028, 0.505781352519989, 0.25480982661247253, 0.08595097064971924], [0.36385366320610046, 0.543714702129364, 0.0006403705338016152, 0.09179121255874634], [0.1368340402841568, 0.8360893130302429, 0.00011018215445801616, 0.026966484263539314]]]","[0.853145182132721, 0.8360893130302429]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5487419366836548, 0.1281035840511322, 0.3001091182231903, 0.023045282810926437], [0.5172943472862244, 0.14159861207008362, 0.26455116271972656, 0.07655590027570724], [0.853145182132721, 0.13456180691719055, 0.009066300466656685, 0.0032267183996737003], [0.5877484679222107, 0.37155553698539734, 0.022827059030532837, 0.017868926748633385]], [[0.1625126451253891, 0.5092450976371765, 0.2741304934024811, 0.054111726582050323], [0.1534578949213028, 0.505781352519989, 0.25480982661247253, 0.08595097064971924], [0.36385366320610046, 0.543714702129364, 0.0006403705338016152, 0.09179121255874634], [0.1368340402841568, 0.8360893130302429, 0.00011018215445801616, 0.026966484263539314]]]","[0.853145182132721, 0.8360893130302429]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.27915874123573303, 0.48154106736183167, 0.15267302095890045, 0.08662717044353485], [0.21609744429588318, 0.4370788633823395, 0.11051508784294128, 0.23630861937999725], [0.4537188708782196, 0.5287796258926392, 0.00482163205742836, 0.01267984602600336], [0.16850323975086212, 0.7870991230010986, 0.0065443506464362144, 0.03785332664847374]], [[0.03863087296485901, 0.8944647312164307, 0.06516353785991669, 0.0017408039420843124], [0.03691423684358597, 0.898993194103241, 0.06129440292716026, 0.0027981207240372896], [0.08279836922883987, 0.9142290949821472, 0.00014572239888366312, 0.0028268794994801283], [0.02165607549250126, 0.9777488708496094, 1.7437994756619446e-05, 0.0005775918252766132]]]","[0.7870991230010986, 0.9777488708496094]","[3, 3]","[1, 1]"
