transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5420149564743042, 0.13666974008083344, 0.2980565130710602, 0.023258818313479424], [0.5051769018173218, 0.15041996538639069, 0.2617548108100891, 0.08264831453561783], [0.8420814275741577, 0.14653286337852478, 0.009135844185948372, 0.0022498576436191797], [0.5224303007125854, 0.441849023103714, 0.019963020458817482, 0.015757642686367035]], [[0.19597941637039185, 0.47989293932914734, 0.274839848279953, 0.0492878295481205], [0.1774730086326599, 0.4753555655479431, 0.2485252469778061, 0.09864610433578491], [0.4640185534954071, 0.4578956365585327, 0.0005291096749715507, 0.07755669951438904], [0.1363598108291626, 0.8519984483718872, 2.8029979148413986e-05, 0.011613728478550911]]]","[0.8420814275741577, 0.8519984483718872]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5420149564743042, 0.13666974008083344, 0.2980565130710602, 0.023258818313479424], [0.5051769018173218, 0.15041996538639069, 0.2617548108100891, 0.08264831453561783], [0.8420814275741577, 0.14653286337852478, 0.009135844185948372, 0.0022498576436191797], [0.5224303007125854, 0.441849023103714, 0.019963020458817482, 0.015757642686367035]], [[0.19597941637039185, 0.47989293932914734, 0.274839848279953, 0.0492878295481205], [0.1774730086326599, 0.4753555655479431, 0.2485252469778061, 0.09864610433578491], [0.4640185534954071, 0.4578956365585327, 0.0005291096749715507, 0.07755669951438904], [0.1363598108291626, 0.8519984483718872, 2.8029979148413986e-05, 0.011613728478550911]]]","[0.8420814275741577, 0.8519984483718872]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5420149564743042, 0.13666974008083344, 0.2980565130710602, 0.023258818313479424], [0.5051769018173218, 0.15041996538639069, 0.2617548108100891, 0.08264831453561783], [0.8420814275741577, 0.14653286337852478, 0.009135844185948372, 0.0022498576436191797], [0.5224303007125854, 0.441849023103714, 0.019963020458817482, 0.015757642686367035]], [[0.19597941637039185, 0.47989293932914734, 0.274839848279953, 0.0492878295481205], [0.1774730086326599, 0.4753555655479431, 0.2485252469778061, 0.09864610433578491], [0.4640185534954071, 0.4578956365585327, 0.0005291096749715507, 0.07755669951438904], [0.1363598108291626, 0.8519984483718872, 2.8029979148413986e-05, 0.011613728478550911]]]","[0.8420814275741577, 0.8519984483718872]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5420149564743042, 0.13666974008083344, 0.2980565130710602, 0.023258818313479424], [0.5051769018173218, 0.15041996538639069, 0.2617548108100891, 0.08264831453561783], [0.8420814275741577, 0.14653286337852478, 0.009135844185948372, 0.0022498576436191797], [0.5224303007125854, 0.441849023103714, 0.019963020458817482, 0.015757642686367035]], [[0.19597941637039185, 0.47989293932914734, 0.274839848279953, 0.0492878295481205], [0.1774730086326599, 0.4753555655479431, 0.2485252469778061, 0.09864610433578491], [0.4640185534954071, 0.4578956365585327, 0.0005291096749715507, 0.07755669951438904], [0.1363598108291626, 0.8519984483718872, 2.8029979148413986e-05, 0.011613728478550911]]]","[0.8420814275741577, 0.8519984483718872]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.268086314201355, 0.49948763847351074, 0.14742189645767212, 0.08500412106513977], [0.20295676589012146, 0.4465339779853821, 0.10516099631786346, 0.24534830451011658], [0.4317079782485962, 0.5550856590270996, 0.004683651030063629, 0.008522752672433853], [0.1331482231616974, 0.8320891857147217, 0.005087836645543575, 0.02967476099729538]], [[0.04870935156941414, 0.8813232183456421, 0.06830957531929016, 0.001657877815887332], [0.04490967094898224, 0.8888225555419922, 0.06288949400186539, 0.0033783032558858395], [0.12026003748178482, 0.8768826127052307, 0.00013712976942770183, 0.0027202973142266273], [0.021195532754063606, 0.9785559177398682, 4.356930730864406e-06, 0.00024430963094346225]]]","[0.8320891857147217, 0.9785559177398682]","[3, 3]","[1, 1]"
