transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.28989413380622864, 0.28340819478034973, 0.20959171652793884, 0.2171059101819992], [0.3580878973007202, 0.4231768250465393, 0.09835342317819595, 0.12038185447454453], [0.8954979777336121, 0.09900189936161041, 0.004240542650222778, 0.001259585958905518], [0.8493638634681702, 0.1431305706501007, 0.006148544605821371, 0.0013571021845564246]], [[0.23677252233028412, 0.33327263593673706, 0.23118475079536438, 0.19877007603645325], [0.2947961688041687, 0.4926682412624359, 0.1037517786026001, 0.1087837964296341], [0.7950111627578735, 0.11390011012554169, 0.008968192152678967, 0.08212059736251831], [0.7501087784767151, 0.15659019351005554, 0.004819526337087154, 0.08848143368959427]]]","[0.8954979777336121, 0.7950111627578735]","[2, 2]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.28989413380622864, 0.28340819478034973, 0.20959171652793884, 0.2171059101819992], [0.3580878973007202, 0.4231768250465393, 0.09835342317819595, 0.12038185447454453], [0.8954979777336121, 0.09900189936161041, 0.004240542650222778, 0.001259585958905518], [0.8493638634681702, 0.1431305706501007, 0.006148544605821371, 0.0013571021845564246]], [[0.23677252233028412, 0.33327263593673706, 0.23118475079536438, 0.19877007603645325], [0.2947961688041687, 0.4926682412624359, 0.1037517786026001, 0.1087837964296341], [0.7950111627578735, 0.11390011012554169, 0.008968192152678967, 0.08212059736251831], [0.7501087784767151, 0.15659019351005554, 0.004819526337087154, 0.08848143368959427]]]","[0.8954979777336121, 0.7950111627578735]","[2, 2]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.28989413380622864, 0.28340819478034973, 0.20959171652793884, 0.2171059101819992], [0.3580878973007202, 0.4231768250465393, 0.09835342317819595, 0.12038185447454453], [0.8954979777336121, 0.09900189936161041, 0.004240542650222778, 0.001259585958905518], [0.8493638634681702, 0.1431305706501007, 0.006148544605821371, 0.0013571021845564246]], [[0.23677252233028412, 0.33327263593673706, 0.23118475079536438, 0.19877007603645325], [0.2947961688041687, 0.4926682412624359, 0.1037517786026001, 0.1087837964296341], [0.7950111627578735, 0.11390011012554169, 0.008968192152678967, 0.08212059736251831], [0.7501087784767151, 0.15659019351005554, 0.004819526337087154, 0.08848143368959427]]]","[0.8954979777336121, 0.7950111627578735]","[2, 2]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.28989413380622864, 0.28340819478034973, 0.20959171652793884, 0.2171059101819992], [0.3580878973007202, 0.4231768250465393, 0.09835342317819595, 0.12038185447454453], [0.8954979777336121, 0.09900189936161041, 0.004240542650222778, 0.001259585958905518], [0.8493638634681702, 0.1431305706501007, 0.006148544605821371, 0.0013571021845564246]], [[0.23677252233028412, 0.33327263593673706, 0.23118475079536438, 0.19877007603645325], [0.2947961688041687, 0.4926682412624359, 0.1037517786026001, 0.1087837964296341], [0.7950111627578735, 0.11390011012554169, 0.008968192152678967, 0.08212059736251831], [0.7501087784767151, 0.15659019351005554, 0.004819526337087154, 0.08848143368959427]]]","[0.8954979777336121, 0.7950111627578735]","[2, 2]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.0690583735704422, 0.49885955452919006, 0.04992878809571266, 0.3821532726287842], [0.0800585076212883, 0.6990829706192017, 0.021989095956087112, 0.19886936247348785], [0.5458435416221619, 0.44589856266975403, 0.0025847884826362133, 0.005673098843544722], [0.44165468215942383, 0.549933910369873, 0.003197138197720051, 0.005214234348386526]], [[0.08006028831005096, 0.8326729536056519, 0.07817088812589645, 0.009095944464206696], [0.0727241262793541, 0.8980492353439331, 0.025594821199774742, 0.003631884464994073], [0.4798741638660431, 0.5080041885375977, 0.005413261707872152, 0.006708373781293631], [0.38987818360328674, 0.6013928651809692, 0.0025050065014511347, 0.006223973352462053]]]","[0.6990829706192017, 0.8980492353439331]","[1, 1]","[1, 1]"
