transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.46955156326293945, 0.1904791295528412, 0.1907099336385727, 0.14925934374332428], [0.47539207339286804, 0.2077479064464569, 0.18967226147651672, 0.12718772888183594], [0.839511513710022, 0.1395348459482193, 0.00889363419264555, 0.01206007320433855], [0.8332257866859436, 0.14549027383327484, 0.008983253501355648, 0.012300662696361542]], [[0.16272033751010895, 0.49195966124534607, 0.20318876206874847, 0.1421312540769577], [0.15989075601100922, 0.5266162157058716, 0.18319864571094513, 0.13029436767101288], [0.3305663466453552, 0.4315815269947052, 0.013269896619021893, 0.22458216547966003], [0.29985910654067993, 0.4955587387084961, 0.005237932782620192, 0.19934412837028503]]]","[0.839511513710022, 0.5266162157058716]","[2, 1]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.46955156326293945, 0.1904791295528412, 0.1907099336385727, 0.14925934374332428], [0.47539207339286804, 0.2077479064464569, 0.18967226147651672, 0.12718772888183594], [0.839511513710022, 0.1395348459482193, 0.00889363419264555, 0.01206007320433855], [0.8332257866859436, 0.14549027383327484, 0.008983253501355648, 0.012300662696361542]], [[0.16272033751010895, 0.49195966124534607, 0.20318876206874847, 0.1421312540769577], [0.15989075601100922, 0.5266162157058716, 0.18319864571094513, 0.13029436767101288], [0.3305663466453552, 0.4315815269947052, 0.013269896619021893, 0.22458216547966003], [0.29985910654067993, 0.4955587387084961, 0.005237932782620192, 0.19934412837028503]]]","[0.839511513710022, 0.5266162157058716]","[2, 1]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.46955156326293945, 0.1904791295528412, 0.1907099336385727, 0.14925934374332428], [0.47539207339286804, 0.2077479064464569, 0.18967226147651672, 0.12718772888183594], [0.839511513710022, 0.1395348459482193, 0.00889363419264555, 0.01206007320433855], [0.8332257866859436, 0.14549027383327484, 0.008983253501355648, 0.012300662696361542]], [[0.16272033751010895, 0.49195966124534607, 0.20318876206874847, 0.1421312540769577], [0.15989075601100922, 0.5266162157058716, 0.18319864571094513, 0.13029436767101288], [0.3305663466453552, 0.4315815269947052, 0.013269896619021893, 0.22458216547966003], [0.29985910654067993, 0.4955587387084961, 0.005237932782620192, 0.19934412837028503]]]","[0.839511513710022, 0.5266162157058716]","[2, 1]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.46955156326293945, 0.1904791295528412, 0.1907099336385727, 0.14925934374332428], [0.47539207339286804, 0.2077479064464569, 0.18967226147651672, 0.12718772888183594], [0.839511513710022, 0.1395348459482193, 0.00889363419264555, 0.01206007320433855], [0.8332257866859436, 0.14549027383327484, 0.008983253501355648, 0.012300662696361542]], [[0.16272033751010895, 0.49195966124534607, 0.20318876206874847, 0.1421312540769577], [0.15989075601100922, 0.5266162157058716, 0.18319864571094513, 0.13029436767101288], [0.3305663466453552, 0.4315815269947052, 0.013269896619021893, 0.22458216547966003], [0.29985910654067993, 0.4955587387084961, 0.005237932782620192, 0.19934412837028503]]]","[0.839511513710022, 0.5266162157058716]","[2, 1]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.14809511601924896, 0.4439088702201843, 0.06014932692050934, 0.34784674644470215], [0.15140247344970703, 0.48888495564460754, 0.06040666997432709, 0.29930585622787476], [0.42646220326423645, 0.5237517952919006, 0.004517864901572466, 0.04526812955737114], [0.41492515802383423, 0.5353403687477112, 0.004473431035876274, 0.04526103660464287]], [[0.04047505557537079, 0.9041991233825684, 0.050541169941425323, 0.004784606397151947], [0.03760435804724693, 0.9151623845100403, 0.04308610036969185, 0.0041471668519079685], [0.09277206659317017, 0.8949739933013916, 0.0037241410464048386, 0.008529921993613243], [0.07508140802383423, 0.9168518781661987, 0.0013115203473716974, 0.006755066569894552]]]","[0.5353403687477112, 0.9168518781661987]","[3, 3]","[1, 1]"
