iter,t,j,argmax_state,max_prob
,55,1,2,1.0
,55,2,0,0.8094151
,55,3,0,0.6196705
,56,0,1,0.5987083
,56,1,0,0.95207375
,56,2,1,0.58932817
,56,3,3,1.0
,57,0,0,0.5489948
,57,1,2,0.99991906
,57,2,1,0.67611134
,57,3,1,0.67734677
,58,0,3,1.0
,58,1,0,0.63786227
,58,2,1,0.67648464
,58,3,1,0.6651321
,59,0,0,0.8141357
,59,1,3,1.0
,59,2,1,0.61129797
,59,3,0,0.6630116
,60,0,0,0.5668684
,60,1,1,0.66727316
,60,2,1,0.67686343
,60,3,2,0.99163675
,61,0,3,1.0
,61,1,0,0.59507924
,61,2,1,0.67790854
,61,3,1,0.58935153
,62,0,0,0.5448779
,62,1,2,1.0
,62,2,1,0.66693866
,62,3,1,0.6744893
,63,0,3,1.0
,63,1,0,0.86644435
,63,2,0,0.6548912
,63,3,1,0.60884637
,64,0,0,0.9138657
,64,1,1,0.5727666
,64,2,2,1.0
,64,3,1,0.60638475
,65,0,3,1.0
,65,1,0,0.6590079
,65,2,0,0.8664965
,65,3,1,0.60561574
,66,0,0,0.9138657
,66,1,2,1.0
,66,2,1,0.5727643
,66,3,1,0.60623807
,67,0,3,1.0
,67,1,0,0.86623245
,67,2,0,0.6590091
,67,3,1,0.60559577
,68,0,0,0.91386557
,68,1,1,0.5849975
,68,2,2,1.0
,68,3,1,0.60594124
,69,0,3,1.0
,69,1,1,0.6066959
,69,2,0,0.952071
,69,3,1,0.59884745
,70,0,1,0.67525303
,70,1,1,0.6652862
,70,2,2,1.0
,70,3,0,0.54631203
,71,0,1,0.5987448
,71,1,0,0.61604196
,71,2,0,0.86640894
,71,3,3,1.0
,72,0,0,0.619164
,72,1,3,1.0
,72,2,1,0.5738333
,72,3,0,0.8097213
,73,0,3,1.0
,73,1,0,0.80965006
,73,2,0,0.62027746
,73,3,1,0.58685833
,74,0,0,0.9288309
,74,1,1,0.5893771
,74,2,3,1.0
,74,3,1,0.6072928
,75,0,2,1.0
,75,1,1,0.67420757
,75,2,0,0.54508126
,75,3,1,0.67489415
,76,0,0,0.95030487
,76,1,1,0.6089987
,76,2,3,1.0
,76,3,1,0.60902894
,77,0,2,1.0
,77,1,1,0.6064868
,77,2,0,0.92621696
,77,3,1,0.606469
,78,0,0,0.9416502
,78,1,1,0.6064499
,78,2,2,1.0
,78,3,1,0.6060259
,79,0,3,1.0
,79,1,1,0.60784745
,79,2,0,0.86517555
,79,3,1,0.59847695
,80,0,2,1.0
,80,1,1,0.6653249
,80,2,1,0.646696
,80,3,0,0.5569275
,81,0,0,0.95205635
,81,1,1,0.6108482
,81,2,1,0.6100227
,81,3,3,1.0
,82,0,2,1.0
,82,1,1,0.67473316
,82,2,1,0.67509156
,82,3,0,0.57135123
,83,0,0,0.95197874
,83,1,1,0.60253906
,83,2,1,0.6119124
,83,3,2,0.63498336
,84,0,2,0.99999964
,84,1,0,0.54878116
,84,2,1,0.6770905
,84,3,1,0.62144107
,85,0,0,0.6840407
,85,1,3,1.0
,85,2,1,0.6784557
,85,3,1,0.6662915
,86,0,2,1.0
,86,1,1,0.67584634
,86,2,1,0.677252
,86,3,0,0.5844674
,87,0,0,0.95021737
,87,1,1,0.60962605
,87,2,1,0.59957916
,87,3,2,1.0
,88,0,2,1.0
,88,1,1,0.6060344
,88,2,0,0.61853486
,88,3,0,0.86597884
,89,0,0,0.95207465
,89,1,1,0.5988286
,89,2,3,1.0
,89,3,1,0.5866628
,90,0,2,1.0
,90,1,0,0.5462991
,90,2,1,0.6756954
,90,3,1,0.67348206
,91,0,0,0.9417236
,91,1,3,1.0
,91,2,1,0.60914266
,91,3,1,0.59868777
,92,0,3,1.0
,92,1,0,0.80849737
,92,2,1,0.60801935
,92,3,0,0.62168795
,93,0,0,0.56574035
,93,1,1,0.6475121
,93,2,1,0.6733481
,93,3,3,1.0
,94,0,3,0.52748674
,94,1,0,0.6188496
,94,2,1,0.6111452
,94,3,0,0.8079683
,95,0,0,0.5897032
,95,1,3,1.0
,95,2,1,0.6623649
,95,3,1,0.65722203
,96,0,3,1.0
,96,1,0,0.8096502
,96,2,0,0.6550834
,96,3,1,0.60760736
,97,0,0,0.926223
,97,1,1,0.5874555
,97,2,2,0.9999993
,97,3,1,0.5961945
,98,0,2,1.0
,98,1,1,0.6049852
,98,2,0,0.8659895
,98,3,0,0.6186906
,99,0,0,0.94221365
,99,1,1,0.5978989
,99,2,1,0.5862718
,99,3,3,1.0
,100,0,3,1.0
,100,1,0,0.56709725
,100,2,1,0.65977925
,100,3,0,0.50443345
,101,0,1,0.67708826
,101,1,3,1.0
,101,2,1,0.6776388
,101,3,0,0.5548333
,102,0,1,0.67798334
,102,1,0,0.54807234
,102,2,1,0.67839986
,102,3,3,1.0
,103,0,1,0.65780824
,103,1,3,1.0
,103,2,1,0.6679993
,103,3,0,0.7605214
,104,0,0,0.5848561
,104,1,1,0.6648237
,104,2,1,0.6771974
,104,3,2,1.0
,105,0,2,1.0
,105,1,0,0.6543929
,105,2,1,0.60910815
,105,3,0,0.8718312
,106,0,0,0.8649084
,106,1,2,0.9989079
,106,2,1,0.5972352
,106,3,0,0.6854586
,107,0,1,0.6581464
,107,1,1,0.57842016
,107,2,0,0.59688514
,107,3,2,0.99999976
,108,0,1,0.66594815
,108,1,0,0.58811593
,108,2,2,1.0
,108,3,1,0.58739465
,109,0,0,0.6543823
,109,1,2,1.0
,109,2,0,0.8659269
,109,3,1,0.60506696
,110,0,2,0.9990578
,110,1,0,0.86473423
,110,2,1,0.5875855
,110,3,1,0.5975823
,111,0,2,1.0
,111,1,1,0.66406655
,111,2,1,0.681454
,111,3,0,0.59076375
,112,0,0,0.63676065
,112,1,1,0.6679129
,112,2,1,0.6781111
,112,3,2,1.0
,113,0,3,1.0
,113,1,0,0.61847574
,113,2,1,0.6112736
,113,3,0,0.8695184
,114,0,1,0.6746717
,114,1,3,1.0
,114,2,1,0.6732006
,114,3,0,0.5683147
,115,0,1,0.608555
,115,1,0,0.926293
,115,2,1,0.6089468
,115,3,3,1.0
,116,0,1,0.5962919
,116,1,2,1.0
,116,2,1,0.60646576
,116,3,0,0.9262136
,117,0,0,0.61868566
,117,1,0,0.86599
,117,2,1,0.6063027
,117,3,2,1.0
,118,0,3,1.0
,118,1,1,0.5862291
,118,2,1,0.6080369
,118,3,0,0.9520774
,119,0,0,0.58643293
,119,1,1,0.66311294
,119,2,1,0.67486805
,119,3,2,1.0
,120,0,2,1.0
,120,1,0,0.65299183
,120,2,1,0.60900444
,120,3,0,0.8718365
,121,0,0,0.86494374
,121,1,2,0.9606375
,121,2,1,0.5976078
,121,3,0,0.68546045
,122,0,1,0.6563918
,122,1,1,0.57849824
,122,2,0,0.5877709
,122,3,2,1.0
,123,0,1,0.6080211
,123,1,0,0.65810597
,123,2,2,1.0
,123,3,0,0.8659934
,124,0,1,0.5940269
,124,1,2,0.99996316
,124,2,0,0.9416595
,124,3,1,0.5845269
,125,0,0,0.6672654
,125,1,0,0.86504436
,125,2,3,1.0
,125,3,1,0.5962746
,126,0,2,1.0
,126,1,1,0.6623736
,126,2,1,0.84709257
,126,3,0,0.5811163
,127,0,0,0.95021397
,127,1,1,0.59892213
,127,2,1,0.6168532
,127,3,2,1.0
,128,0,2,0.9999956
,128,1,0,0.6185677
,128,2,1,0.59437627
,128,3,0,0.8659825
,129,0,0,0.8650805
,129,1,3,1.0
,129,2,0,0.6663425
,129,3,1,0.5866189
,130,0,1,0.6589478
,130,1,0,0.596412
,130,2,2,0.99609
,130,3,1,0.6762241
,131,0,1,0.68220276
,131,1,2,1.0
,131,2,1,0.6035285
,131,3,1,0.6833162
,132,0,1,0.6006799
,132,1,0,0.9521821
,132,2,3,0.99942607
,132,3,1,0.6119504
,133,0,0,0.58994514
,133,1,2,0.99767584
,133,2,1,0.8484569
,133,3,1,0.68299633
,134,0,2,0.9980382
,134,1,0,0.6392799
,134,2,1,0.6867556
,134,3,1,0.68044335
,135,0,1,0.5504897
,135,1,3,1.0
,135,2,1,0.68505126
,135,3,1,0.6848145
,136,0,2,1.0
,136,1,0,0.5491636
,136,2,1,0.6782008
,136,3,1,0.6782107
,137,0,0,0.9519818
,137,1,3,0.897774
,137,2,1,0.6115093
,137,3,1,0.6119656
,138,0,2,1.0
,138,1,0,0.55449456
,138,2,1,0.6640259
,138,3,1,0.67503333
,139,0,0,0.86617917
,139,1,3,1.0
,139,2,0,0.65501297
,139,3,1,0.6088792
,140,0,1,0.5850027
,140,1,0,0.91386557
,140,2,2,1.0
,140,3,1,0.60651034
,141,0,1,0.60675347
,141,1,3,1.0
,141,2,0,0.95207554
,141,3,1,0.6081623
,142,0,1,0.666555
,142,1,0,0.5477687
,142,2,2,1.0
,142,3,1,0.6770996
,143,0,0,0.59501576
,143,1,3,1.0
,143,2,1,0.57911724
,143,3,1,0.67838854
,144,0,2,0.9978745
,144,1,1,0.6777007
,144,2,0,0.5497669
,144,3,1,0.67997473
