t,j,argmax_state,max_prob
76,2,0,0.56791085
76,3,0,0.65780574
77,0,0,0.63967127
77,1,0,0.77678454
77,2,2,0.7809201
77,3,0,0.65780574
78,0,2,1.0
78,1,0,0.6631914
78,2,0,0.6401456
78,3,0,0.65780574
79,0,1,0.79523844
79,1,0,0.65697
79,2,2,1.0
79,3,0,0.65780574
80,0,2,1.0
80,1,0,0.63407767
80,2,0,0.77678627
80,3,0,0.65780574
81,0,0,0.75826746
81,1,2,1.0
81,2,0,0.66324055
81,3,0,0.65780574
82,0,2,1.0
82,1,1,0.9134729
82,2,0,0.658054
82,3,0,0.65780574
83,0,0,0.75826746
83,1,2,1.0
83,2,0,0.6578171
83,3,0,0.65780574
84,0,2,1.0
84,1,0,0.75826746
84,2,0,0.6578063
84,3,0,0.65780574
85,0,0,0.75826746
85,1,2,1.0
85,2,0,0.6578058
85,3,0,0.65780574
86,0,2,1.0
86,1,0,0.75826746
86,2,0,0.65780574
86,3,0,0.65780574
87,0,1,0.91531616
87,1,2,1.0
87,2,0,0.65780574
87,3,0,0.65780574
88,0,2,0.97068965
88,1,0,0.75826746
88,2,0,0.65780574
88,3,0,0.65780574
89,0,1,0.7096533
89,1,2,1.0
89,2,0,0.65780574
89,3,0,0.65780574
90,0,2,1.0
90,1,0,0.75826746
90,2,0,0.65780574
90,3,0,0.65780574
91,0,0,0.75826746
91,1,2,1.0
91,2,0,0.65780574
91,3,0,0.65780574
92,0,2,1.0
92,1,0,0.7582649
92,2,0,0.65780574
92,3,0,0.65780574
93,0,0,0.75826746
93,1,2,0.9999918
93,2,0,0.65780574
93,3,0,0.65780574
94,0,2,1.0
94,1,0,0.758263
94,2,0,0.65780574
94,3,0,0.65780574
95,0,0,0.75826746
95,1,2,1.0
95,2,0,0.65780574
95,3,0,0.65780574
96,0,2,1.0
96,1,0,0.75826746
96,2,0,0.65780574
96,3,0,0.65780574
97,0,0,0.75826746
97,1,2,1.0
97,2,0,0.65780574
97,3,0,0.65780574
98,0,2,1.0
98,1,0,0.75826746
98,2,0,0.65780574
98,3,0,0.65780574
99,0,0,0.75826746
99,1,2,1.0
99,2,0,0.65780574
99,3,0,0.65780574
100,0,2,1.0
100,1,0,0.75826746
100,2,0,0.65780574
100,3,0,0.65780574
101,0,0,0.75826746
101,1,2,1.0
101,2,0,0.65780574
101,3,0,0.65780574
102,0,2,1.0
102,1,0,0.75826746
102,2,0,0.65780574
102,3,0,0.65780574
103,0,0,0.75826746
103,1,2,1.0
103,2,0,0.65780574
103,3,0,0.65780574
104,0,2,1.0
104,1,0,0.758259
104,2,0,0.65780574
104,3,0,0.65780574
105,0,0,0.7582668
105,1,2,0.99997294
105,2,0,0.65780574
105,3,0,0.65780574
106,0,2,0.99999785
106,1,0,0.75825286
106,2,0,0.6578057
106,3,0,0.65780574
107,0,1,0.7952388
107,1,2,1.0
107,2,0,0.6578035
107,3,0,0.65780574
108,0,2,1.0
108,1,0,0.75826746
108,2,0,0.6577562
108,3,0,0.65780574
109,0,0,0.75826746
109,1,2,1.0
109,2,0,0.65672094
109,3,0,0.65780574
110,0,2,1.0
110,1,0,0.7759505
110,2,0,0.63405585
110,3,0,0.65780574
111,0,0,0.7759505
111,1,0,0.63967055
111,2,2,0.999969
111,3,0,0.65780574
112,0,0,0.63967127
112,1,2,0.9999979
112,2,0,0.77676946
112,3,0,0.65780574
113,0,2,1.0
113,1,1,0.7019913
113,2,0,0.6632375
113,3,0,0.65780574
114,0,0,0.75826746
114,1,2,1.0
114,2,0,0.65800446
114,3,0,0.65780574
115,0,2,1.0
115,1,0,0.75826746
115,2,0,0.65673274
115,3,0,0.65780574
116,0,0,0.7759505
116,1,2,1.0
116,2,0,0.6340665
116,3,0,0.65780574
117,0,0,0.63967127
117,1,0,0.7759505
117,2,2,1.0
117,3,0,0.65780574
118,0,2,1.0
118,1,0,0.63967127
118,2,0,0.7767862
118,3,0,0.65780574
119,0,0,0.75826746
119,1,2,1.0
119,2,0,0.6632383
119,3,0,0.65780574
120,0,2,1.0
120,1,1,0.79523844
120,2,0,0.6580045
120,3,0,0.65780574
121,0,0,0.75826746
121,1,2,1.0
121,2,0,0.65673274
121,3,0,0.65780574
122,0,2,1.0
122,1,0,0.7767481
122,2,0,0.6340665
122,3,0,0.65780574
123,0,1,0.7019908
123,1,0,0.6621645
123,2,2,1.0
123,3,0,0.65780574
124,0,2,1.0
124,1,0,0.63432187
124,2,0,0.77678627
124,3,0,0.65780574
125,0,0,0.75826746
125,1,2,1.0
125,2,0,0.66324055
125,3,0,0.65780574
126,0,2,1.0
126,1,0,0.75826746
126,2,0,0.658054
126,3,0,0.65780574
127,0,0,0.75826746
127,1,2,1.0
127,2,0,0.6578171
127,3,0,0.65780574
128,0,2,1.0
128,1,0,0.75826746
128,2,0,0.6578063
128,3,0,0.65780574
129,0,0,0.75826746
129,1,2,1.0
129,2,0,0.6578058
129,3,0,0.65780574
130,0,2,1.0
130,1,1,0.7019908
