scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
mech_evidence,1,452,0.8805924195433612,0.21042662409943766,1,116
no_mech_evidence,1,3210,0.3947718733010634,0.25688968673966345,6,47
