transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5577638745307922, 0.11614511162042618, 0.3033028841018677, 0.02278812974691391], [0.5361490249633789, 0.12737402319908142, 0.27638664841651917, 0.06009029224514961], [0.8419906497001648, 0.12154942005872726, 0.01938340999186039, 0.017076514661312103], [0.6692165732383728, 0.2545280456542969, 0.04086730629205704, 0.035388145595788956]], [[0.1222124770283699, 0.5451045036315918, 0.17152969539165497, 0.16115325689315796], [0.1197751834988594, 0.5401948690414429, 0.17462527751922607, 0.16540464758872986], [0.2009001523256302, 0.599947988986969, 0.004987919703125954, 0.19416400790214539], [0.13509736955165863, 0.7289263010025024, 0.002874894067645073, 0.13310134410858154]]]","[0.8419906497001648, 0.7289263010025024]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5577638745307922, 0.11614511162042618, 0.3033028841018677, 0.02278812974691391], [0.5361490249633789, 0.12737402319908142, 0.27638664841651917, 0.06009029224514961], [0.8419906497001648, 0.12154942005872726, 0.01938340999186039, 0.017076514661312103], [0.6692165732383728, 0.2545280456542969, 0.04086730629205704, 0.035388145595788956]], [[0.1222124770283699, 0.5451045036315918, 0.17152969539165497, 0.16115325689315796], [0.1197751834988594, 0.5401948690414429, 0.17462527751922607, 0.16540464758872986], [0.2009001523256302, 0.599947988986969, 0.004987919703125954, 0.19416400790214539], [0.13509736955165863, 0.7289263010025024, 0.002874894067645073, 0.13310134410858154]]]","[0.8419906497001648, 0.7289263010025024]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5577638745307922, 0.11614511162042618, 0.3033028841018677, 0.02278812974691391], [0.5361490249633789, 0.12737402319908142, 0.27638664841651917, 0.06009029224514961], [0.8419906497001648, 0.12154942005872726, 0.01938340999186039, 0.017076514661312103], [0.6692165732383728, 0.2545280456542969, 0.04086730629205704, 0.035388145595788956]], [[0.1222124770283699, 0.5451045036315918, 0.17152969539165497, 0.16115325689315796], [0.1197751834988594, 0.5401948690414429, 0.17462527751922607, 0.16540464758872986], [0.2009001523256302, 0.599947988986969, 0.004987919703125954, 0.19416400790214539], [0.13509736955165863, 0.7289263010025024, 0.002874894067645073, 0.13310134410858154]]]","[0.8419906497001648, 0.7289263010025024]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5577638745307922, 0.11614511162042618, 0.3033028841018677, 0.02278812974691391], [0.5361490249633789, 0.12737402319908142, 0.27638664841651917, 0.06009029224514961], [0.8419906497001648, 0.12154942005872726, 0.01938340999186039, 0.017076514661312103], [0.6692165732383728, 0.2545280456542969, 0.04086730629205704, 0.035388145595788956]], [[0.1222124770283699, 0.5451045036315918, 0.17152969539165497, 0.16115325689315796], [0.1197751834988594, 0.5401948690414429, 0.17462527751922607, 0.16540464758872986], [0.2009001523256302, 0.599947988986969, 0.004987919703125954, 0.19416400790214539], [0.13509736955165863, 0.7289263010025024, 0.002874894067645073, 0.13310134410858154]]]","[0.8419906497001648, 0.7289263010025024]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.29548022150993347, 0.4546402394771576, 0.16067729890346527, 0.08920221030712128], [0.24395692348480225, 0.4282500743865967, 0.12576062977313995, 0.2020324021577835], [0.446516215801239, 0.4762904942035675, 0.010279218666255474, 0.06691417843103409], [0.2346242517232895, 0.6593724489212036, 0.014327889308333397, 0.09167542308568954]], [[0.028137773275375366, 0.9273483753204346, 0.039492394775152206, 0.005021396093070507], [0.027800923213362694, 0.9264710545539856, 0.04053214564919472, 0.005195782519876957], [0.04306342825293541, 0.9502347707748413, 0.0010691731004044414, 0.005632591433823109], [0.024376722052693367, 0.9718542098999023, 0.0005187407368794084, 0.003250287612900138]]]","[0.6593724489212036, 0.9718542098999023]","[3, 3]","[1, 1]"
