transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.17083683609962463, 0.337793231010437, 0.06856310367584229, 0.4228067696094513], [0.21941709518432617, 0.5589823722839355, 0.03454184904694557, 0.1870587170124054], [0.8318949341773987, 0.16130925714969635, 0.0006861977744847536, 0.00610960740596056], [0.7599400281906128, 0.23102547228336334, 0.001849413150921464, 0.007185059133917093]], [[0.1680763214826584, 0.33551451563835144, 0.10968007892370224, 0.38672909140586853], [0.2201574146747589, 0.567328929901123, 0.040641359984874725, 0.1718723028898239], [0.7759583592414856, 0.15072360634803772, 0.00014401452790480107, 0.07317404448986053], [0.7008379697799683, 0.2009250521659851, 0.000212696788366884, 0.09802426397800446]]]","[0.8318949341773987, 0.7759583592414856]","[2, 2]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.17083683609962463, 0.337793231010437, 0.06856310367584229, 0.4228067696094513], [0.21941709518432617, 0.5589823722839355, 0.03454184904694557, 0.1870587170124054], [0.8318949341773987, 0.16130925714969635, 0.0006861977744847536, 0.00610960740596056], [0.7599400281906128, 0.23102547228336334, 0.001849413150921464, 0.007185059133917093]], [[0.1680763214826584, 0.33551451563835144, 0.10968007892370224, 0.38672909140586853], [0.2201574146747589, 0.567328929901123, 0.040641359984874725, 0.1718723028898239], [0.7759583592414856, 0.15072360634803772, 0.00014401452790480107, 0.07317404448986053], [0.7008379697799683, 0.2009250521659851, 0.000212696788366884, 0.09802426397800446]]]","[0.8318949341773987, 0.7759583592414856]","[2, 2]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.17083683609962463, 0.337793231010437, 0.06856310367584229, 0.4228067696094513], [0.21941709518432617, 0.5589823722839355, 0.03454184904694557, 0.1870587170124054], [0.8318949341773987, 0.16130925714969635, 0.0006861977744847536, 0.00610960740596056], [0.7599400281906128, 0.23102547228336334, 0.001849413150921464, 0.007185059133917093]], [[0.1680763214826584, 0.33551451563835144, 0.10968007892370224, 0.38672909140586853], [0.2201574146747589, 0.567328929901123, 0.040641359984874725, 0.1718723028898239], [0.7759583592414856, 0.15072360634803772, 0.00014401452790480107, 0.07317404448986053], [0.7008379697799683, 0.2009250521659851, 0.000212696788366884, 0.09802426397800446]]]","[0.8318949341773987, 0.7759583592414856]","[2, 2]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.17083683609962463, 0.337793231010437, 0.06856310367584229, 0.4228067696094513], [0.21941709518432617, 0.5589823722839355, 0.03454184904694557, 0.1870587170124054], [0.8318949341773987, 0.16130925714969635, 0.0006861977744847536, 0.00610960740596056], [0.7599400281906128, 0.23102547228336334, 0.001849413150921464, 0.007185059133917093]], [[0.1680763214826584, 0.33551451563835144, 0.10968007892370224, 0.38672909140586853], [0.2201574146747589, 0.567328929901123, 0.040641359984874725, 0.1718723028898239], [0.7759583592414856, 0.15072360634803772, 0.00014401452790480107, 0.07317404448986053], [0.7008379697799683, 0.2009250521659851, 0.000212696788366884, 0.09802426397800446]]]","[0.8318949341773987, 0.7759583592414856]","[2, 2]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.02915545180439949, 0.4259691536426544, 0.011701155453920364, 0.5331742763519287], [0.03805031627416611, 0.716266930103302, 0.005990092176944017, 0.23969267308712006], [0.40194985270500183, 0.5759060382843018, 0.00033155278651975095, 0.02181251533329487], [0.30133146047592163, 0.6768836379051208, 0.0007333293906413019, 0.021051572635769844]], [[0.05983002483844757, 0.8824963569641113, 0.03904275596141815, 0.01863075979053974], [0.04918527230620384, 0.9365384578704834, 0.00907966960221529, 0.005196591839194298], [0.408461332321167, 0.5862499475479126, 7.58086534915492e-05, 0.005212914664298296], [0.31871283054351807, 0.6751574873924255, 9.672584565123543e-05, 0.006032908335328102]]]","[0.716266930103302, 0.9365384578704834]","[1, 1]","[1, 1]"
