scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
mech_evidence,1,452,0.21265741009718483,0.21425992126417875,22,0
no_mech_evidence,1,3210,0.09485998647418047,0.1439889553616387,1507,0
