iter,t,j,evidence_class,evidence_is_onehot
,88,1,0,True
,88,2,0,True
,88,3,0,True
,89,0,0,True
,89,1,0,True
,89,2,3,True
,89,3,0,True
,90,0,0,True
,90,1,0,True
,90,2,0,True
,90,3,0,True
,91,0,0,True
,91,1,0,True
,91,2,0,True
,91,3,0,True
,92,0,2,True
,92,1,0,True
,92,2,0,True
,92,3,0,True
,93,0,0,True
,93,1,0,True
,93,2,0,True
,93,3,0,True
,94,0,2,True
,94,1,0,True
,94,2,0,True
,94,3,0,True
,95,0,0,True
,95,1,0,True
,95,2,0,True
,95,3,0,True
,96,0,0,True
,96,1,0,True
,96,2,0,True
,96,3,0,True
,97,0,0,True
,97,1,0,True
,97,2,0,True
,97,3,0,True
,98,0,0,True
,98,1,0,True
,98,2,0,True
,98,3,0,True
,99,0,0,True
,99,1,0,True
,99,2,0,True
,99,3,0,True
,100,0,0,True
,100,1,0,True
,100,2,0,True
,100,3,0,True
,101,0,0,True
,101,1,0,True
,101,2,0,True
,101,3,0,True
,102,0,0,True
,102,1,0,True
,102,2,0,True
,102,3,0,True
,103,0,0,True
,103,1,2,True
,103,2,0,True
,103,3,0,True
,104,0,0,True
,104,1,0,True
,104,2,0,True
,104,3,0,True
,105,0,0,True
,105,1,0,True
,105,2,0,True
,105,3,0,True
,106,0,0,True
,106,1,3,True
,106,2,0,True
,106,3,0,True
,107,0,0,True
,107,1,0,True
,107,2,0,True
,107,3,3,True
,108,0,0,True
,108,1,0,True
,108,2,0,True
,108,3,0,True
,109,0,0,True
,109,1,0,True
,109,2,0,True
,109,3,0,True
,110,0,0,True
,110,1,0,True
,110,2,0,True
,110,3,0,True
,111,0,2,True
,111,1,0,True
,111,2,0,True
,111,3,0,True
,112,0,0,True
,112,1,0,True
,112,2,0,True
,112,3,0,True
,113,0,2,True
,113,1,0,True
,113,2,0,True
,113,3,0,True
,114,0,0,True
,114,1,0,True
,114,2,0,True
,114,3,0,True
,115,0,0,True
,115,1,0,True
,115,2,0,True
