transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5445233583450317, 0.13213315606117249, 0.2787197232246399, 0.04462381452322006], [0.5252314209938049, 0.13422544300556183, 0.2825984060764313, 0.05794471874833107], [0.8401908278465271, 0.14135974645614624, 0.010631551034748554, 0.007817876525223255], [0.864051103591919, 0.12488990277051926, 0.004016088321805, 0.007042887154966593]], [[0.14245186746120453, 0.5257854461669922, 0.23923495411872864, 0.09252771735191345], [0.1387135535478592, 0.5184080600738525, 0.24828509986400604, 0.09459320455789566], [0.21923449635505676, 0.6939972639083862, 0.0009762896806932986, 0.08579199761152267], [0.6136942505836487, 0.1571456640958786, 0.001776613062247634, 0.22738340497016907]]]","[0.864051103591919, 0.6939972639083862]","[3, 2]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5445233583450317, 0.13213315606117249, 0.2787197232246399, 0.04462381452322006], [0.5252314209938049, 0.13422544300556183, 0.2825984060764313, 0.05794471874833107], [0.8401908278465271, 0.14135974645614624, 0.010631551034748554, 0.007817876525223255], [0.864051103591919, 0.12488990277051926, 0.004016088321805, 0.007042887154966593]], [[0.14245186746120453, 0.5257854461669922, 0.23923495411872864, 0.09252771735191345], [0.1387135535478592, 0.5184080600738525, 0.24828509986400604, 0.09459320455789566], [0.21923449635505676, 0.6939972639083862, 0.0009762896806932986, 0.08579199761152267], [0.6136942505836487, 0.1571456640958786, 0.001776613062247634, 0.22738340497016907]]]","[0.864051103591919, 0.6939972639083862]","[3, 2]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5445233583450317, 0.13213315606117249, 0.2787197232246399, 0.04462381452322006], [0.5252314209938049, 0.13422544300556183, 0.2825984060764313, 0.05794471874833107], [0.8401908278465271, 0.14135974645614624, 0.010631551034748554, 0.007817876525223255], [0.864051103591919, 0.12488990277051926, 0.004016088321805, 0.007042887154966593]], [[0.14245186746120453, 0.5257854461669922, 0.23923495411872864, 0.09252771735191345], [0.1387135535478592, 0.5184080600738525, 0.24828509986400604, 0.09459320455789566], [0.21923449635505676, 0.6939972639083862, 0.0009762896806932986, 0.08579199761152267], [0.6136942505836487, 0.1571456640958786, 0.001776613062247634, 0.22738340497016907]]]","[0.864051103591919, 0.6939972639083862]","[3, 2]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5445233583450317, 0.13213315606117249, 0.2787197232246399, 0.04462381452322006], [0.5252314209938049, 0.13422544300556183, 0.2825984060764313, 0.05794471874833107], [0.8401908278465271, 0.14135974645614624, 0.010631551034748554, 0.007817876525223255], [0.864051103591919, 0.12488990277051926, 0.004016088321805, 0.007042887154966593]], [[0.14245186746120453, 0.5257854461669922, 0.23923495411872864, 0.09252771735191345], [0.1387135535478592, 0.5184080600738525, 0.24828509986400604, 0.09459320455789566], [0.21923449635505676, 0.6939972639083862, 0.0009762896806932986, 0.08579199761152267], [0.6136942505836487, 0.1571456640958786, 0.001776613062247634, 0.22738340497016907]]]","[0.864051103591919, 0.6939972639083862]","[3, 2]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2557275891304016, 0.45852378010749817, 0.13089673221111298, 0.15485194325447083], [0.23576386272907257, 0.4451950490474701, 0.12685169279575348, 0.19218936562538147], [0.4301822781562805, 0.5347974300384521, 0.005443412344902754, 0.029576880857348442], [0.46884745359420776, 0.5007355213165283, 0.0021791912149637938, 0.02823786810040474]], [[0.03328883647918701, 0.9078793525695801, 0.05590558424592018, 0.002926263026893139], [0.03279011696577072, 0.9054922461509705, 0.05869142338633537, 0.003026182996109128], [0.040903445333242416, 0.9567481279373169, 0.00018215009185951203, 0.0021662507206201553], [0.33954495191574097, 0.6424459218978882, 0.0009829651098698378, 0.01702609285712242]]]","[0.5347974300384521, 0.9567481279373169]","[2, 2]","[1, 1]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5445233583450317, 0.13213315606117249, 0.2787197232246399, 0.04462381452322006], [0.5252314209938049, 0.13422544300556183, 0.2825984060764313, 0.05794471874833107], [0.8401908278465271, 0.14135974645614624, 0.010631551034748554, 0.007817876525223255], [0.864051103591919, 0.12488990277051926, 0.004016088321805, 0.007042887154966593]], [[0.14245186746120453, 0.5257854461669922, 0.23923495411872864, 0.09252771735191345], [0.1387135535478592, 0.5184080600738525, 0.24828509986400604, 0.09459320455789566], [0.21923449635505676, 0.6939972639083862, 0.0009762896806932986, 0.08579199761152267], [0.6136942505836487, 0.1571456640958786, 0.001776613062247634, 0.22738340497016907]]]","[0.864051103591919, 0.6939972639083862]","[3, 2]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5445233583450317, 0.13213315606117249, 0.2787197232246399, 0.04462381452322006], [0.5252314209938049, 0.13422544300556183, 0.2825984060764313, 0.05794471874833107], [0.8401908278465271, 0.14135974645614624, 0.010631551034748554, 0.007817876525223255], [0.864051103591919, 0.12488990277051926, 0.004016088321805, 0.007042887154966593]], [[0.14245186746120453, 0.5257854461669922, 0.23923495411872864, 0.09252771735191345], [0.1387135535478592, 0.5184080600738525, 0.24828509986400604, 0.09459320455789566], [0.21923449635505676, 0.6939972639083862, 0.0009762896806932986, 0.08579199761152267], [0.6136942505836487, 0.1571456640958786, 0.001776613062247634, 0.22738340497016907]]]","[0.864051103591919, 0.6939972639083862]","[3, 2]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5445233583450317, 0.13213315606117249, 0.2787197232246399, 0.04462381452322006], [0.5252314209938049, 0.13422544300556183, 0.2825984060764313, 0.05794471874833107], [0.8401908278465271, 0.14135974645614624, 0.010631551034748554, 0.007817876525223255], [0.864051103591919, 0.12488990277051926, 0.004016088321805, 0.007042887154966593]], [[0.14245186746120453, 0.5257854461669922, 0.23923495411872864, 0.09252771735191345], [0.1387135535478592, 0.5184080600738525, 0.24828509986400604, 0.09459320455789566], [0.21923449635505676, 0.6939972639083862, 0.0009762896806932986, 0.08579199761152267], [0.6136942505836487, 0.1571456640958786, 0.001776613062247634, 0.22738340497016907]]]","[0.864051103591919, 0.6939972639083862]","[3, 2]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5445233583450317, 0.13213315606117249, 0.2787197232246399, 0.04462381452322006], [0.5252314209938049, 0.13422544300556183, 0.2825984060764313, 0.05794471874833107], [0.8401908278465271, 0.14135974645614624, 0.010631551034748554, 0.007817876525223255], [0.864051103591919, 0.12488990277051926, 0.004016088321805, 0.007042887154966593]], [[0.14245186746120453, 0.5257854461669922, 0.23923495411872864, 0.09252771735191345], [0.1387135535478592, 0.5184080600738525, 0.24828509986400604, 0.09459320455789566], [0.21923449635505676, 0.6939972639083862, 0.0009762896806932986, 0.08579199761152267], [0.6136942505836487, 0.1571456640958786, 0.001776613062247634, 0.22738340497016907]]]","[0.864051103591919, 0.6939972639083862]","[3, 2]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2557275891304016, 0.45852378010749817, 0.13089673221111298, 0.15485194325447083], [0.23576386272907257, 0.4451950490474701, 0.12685169279575348, 0.19218936562538147], [0.4301822781562805, 0.5347974300384521, 0.005443412344902754, 0.029576880857348442], [0.46884745359420776, 0.5007355213165283, 0.0021791912149637938, 0.02823786810040474]], [[0.03328883647918701, 0.9078793525695801, 0.05590558424592018, 0.002926263026893139], [0.03279011696577072, 0.9054922461509705, 0.05869142338633537, 0.003026182996109128], [0.040903445333242416, 0.9567481279373169, 0.00018215009185951203, 0.0021662507206201553], [0.33954495191574097, 0.6424459218978882, 0.0009829651098698378, 0.01702609285712242]]]","[0.5347974300384521, 0.9567481279373169]","[2, 2]","[1, 1]"
