transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.12556211650371552, 0.22143860161304474, 0.08914073556661606, 0.5638585090637207], [0.11075562238693237, 0.7708714604377747, 0.016427041962742805, 0.1019459217786789], [0.9315283894538879, 0.06532925367355347, 3.481520980130881e-05, 0.0031074020080268383], [0.897065281867981, 0.09696429967880249, 0.001880187657661736, 0.0040902793407440186]], [[0.10998328775167465, 0.2138432115316391, 0.16349078714847565, 0.5126827359199524], [0.10818776488304138, 0.7834132313728333, 0.01743474416434765, 0.09096423536539078], [0.9216047525405884, 0.06158028170466423, 3.7186493955232436e-06, 0.016811255365610123], [0.9209918975830078, 0.03742711618542671, 1.0696267054299824e-05, 0.04157029837369919]]]","[0.9315283894538879, 0.9216047525405884]","[2, 2]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.12556211650371552, 0.22143860161304474, 0.08914073556661606, 0.5638585090637207], [0.11075562238693237, 0.7708714604377747, 0.016427041962742805, 0.1019459217786789], [0.9315283894538879, 0.06532925367355347, 3.481520980130881e-05, 0.0031074020080268383], [0.897065281867981, 0.09696429967880249, 0.001880187657661736, 0.0040902793407440186]], [[0.10998328775167465, 0.2138432115316391, 0.16349078714847565, 0.5126827359199524], [0.10818776488304138, 0.7834132313728333, 0.01743474416434765, 0.09096423536539078], [0.9216047525405884, 0.06158028170466423, 3.7186493955232436e-06, 0.016811255365610123], [0.9209918975830078, 0.03742711618542671, 1.0696267054299824e-05, 0.04157029837369919]]]","[0.9315283894538879, 0.9216047525405884]","[2, 2]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.12556211650371552, 0.22143860161304474, 0.08914073556661606, 0.5638585090637207], [0.11075562238693237, 0.7708714604377747, 0.016427041962742805, 0.1019459217786789], [0.9315283894538879, 0.06532925367355347, 3.481520980130881e-05, 0.0031074020080268383], [0.897065281867981, 0.09696429967880249, 0.001880187657661736, 0.0040902793407440186]], [[0.10998328775167465, 0.2138432115316391, 0.16349078714847565, 0.5126827359199524], [0.10818776488304138, 0.7834132313728333, 0.01743474416434765, 0.09096423536539078], [0.9216047525405884, 0.06158028170466423, 3.7186493955232436e-06, 0.016811255365610123], [0.9209918975830078, 0.03742711618542671, 1.0696267054299824e-05, 0.04157029837369919]]]","[0.9315283894538879, 0.9216047525405884]","[2, 2]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.12556211650371552, 0.22143860161304474, 0.08914073556661606, 0.5638585090637207], [0.11075562238693237, 0.7708714604377747, 0.016427041962742805, 0.1019459217786789], [0.9315283894538879, 0.06532925367355347, 3.481520980130881e-05, 0.0031074020080268383], [0.897065281867981, 0.09696429967880249, 0.001880187657661736, 0.0040902793407440186]], [[0.10998328775167465, 0.2138432115316391, 0.16349078714847565, 0.5126827359199524], [0.10818776488304138, 0.7834132313728333, 0.01743474416434765, 0.09096423536539078], [0.9216047525405884, 0.06158028170466423, 3.7186493955232436e-06, 0.016811255365610123], [0.9209918975830078, 0.03742711618542671, 1.0696267054299824e-05, 0.04157029837369919]]]","[0.9315283894538879, 0.9216047525405884]","[2, 2]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.02086682803928852, 0.2719193398952484, 0.014814059250056744, 0.6923997402191162], [0.01684117503464222, 0.8661187887191772, 0.0024978460278362036, 0.1145421490073204], [0.6481344103813171, 0.3358657658100128, 2.4223561922553927e-05, 0.015975534915924072], [0.5451152324676514, 0.4353766143321991, 0.001142524415627122, 0.018365642055869102]], [[0.05719485878944397, 0.8217026591300964, 0.08502047508955002, 0.0360819436609745], [0.018254553899168968, 0.9767265319824219, 0.0029417697805911303, 0.0020771832205355167], [0.6683604717254639, 0.3299868702888489, 2.6968154998030514e-06, 0.0016499750781804323], [0.7654650807380676, 0.2298501878976822, 8.890000572137069e-06, 0.004675883799791336]]]","[0.8661187887191772, 0.9767265319824219]","[1, 1]","[1, 1]"
