transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.3300122022628784, 0.35348275303840637, 0.19439341127872467, 0.12211158871650696], [0.3368281126022339, 0.37024766206741333, 0.18044652044773102, 0.11247763782739639], [0.7113012671470642, 0.18494002521038055, 0.06511400640010834, 0.03864463046193123], [0.6900008916854858, 0.1982724815607071, 0.07005440443754196, 0.04167216643691063]], [[0.19799070060253143, 0.42706459760665894, 0.04763343557715416, 0.327311247587204], [0.18578733503818512, 0.4678615629673004, 0.04344195872545242, 0.3029091954231262], [0.27594852447509766, 0.28810369968414307, 0.012578588910400867, 0.4233691692352295], [0.2367796003818512, 0.3849225640296936, 0.011019928380846977, 0.36727797985076904]]]","[0.7113012671470642, 0.4678615629673004]","[2, 1]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.3300122022628784, 0.35348275303840637, 0.19439341127872467, 0.12211158871650696], [0.3368281126022339, 0.37024766206741333, 0.18044652044773102, 0.11247763782739639], [0.7113012671470642, 0.18494002521038055, 0.06511400640010834, 0.03864463046193123], [0.6900008916854858, 0.1982724815607071, 0.07005440443754196, 0.04167216643691063]], [[0.19799070060253143, 0.42706459760665894, 0.04763343557715416, 0.327311247587204], [0.18578733503818512, 0.4678615629673004, 0.04344195872545242, 0.3029091954231262], [0.27594852447509766, 0.28810369968414307, 0.012578588910400867, 0.4233691692352295], [0.2367796003818512, 0.3849225640296936, 0.011019928380846977, 0.36727797985076904]]]","[0.7113012671470642, 0.4678615629673004]","[2, 1]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.3300122022628784, 0.35348275303840637, 0.19439341127872467, 0.12211158871650696], [0.3368281126022339, 0.37024766206741333, 0.18044652044773102, 0.11247763782739639], [0.7113012671470642, 0.18494002521038055, 0.06511400640010834, 0.03864463046193123], [0.6900008916854858, 0.1982724815607071, 0.07005440443754196, 0.04167216643691063]], [[0.19799070060253143, 0.42706459760665894, 0.04763343557715416, 0.327311247587204], [0.18578733503818512, 0.4678615629673004, 0.04344195872545242, 0.3029091954231262], [0.27594852447509766, 0.28810369968414307, 0.012578588910400867, 0.4233691692352295], [0.2367796003818512, 0.3849225640296936, 0.011019928380846977, 0.36727797985076904]]]","[0.7113012671470642, 0.4678615629673004]","[2, 1]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.3300122022628784, 0.35348275303840637, 0.19439341127872467, 0.12211158871650696], [0.3368281126022339, 0.37024766206741333, 0.18044652044773102, 0.11247763782739639], [0.7113012671470642, 0.18494002521038055, 0.06511400640010834, 0.03864463046193123], [0.6900008916854858, 0.1982724815607071, 0.07005440443754196, 0.04167216643691063]], [[0.19799070060253143, 0.42706459760665894, 0.04763343557715416, 0.327311247587204], [0.18578733503818512, 0.4678615629673004, 0.04344195872545242, 0.3029091954231262], [0.27594852447509766, 0.28810369968414307, 0.012578588910400867, 0.4233691692352295], [0.2367796003818512, 0.3849225640296936, 0.011019928380846977, 0.36727797985076904]]]","[0.7113012671470642, 0.4678615629673004]","[2, 1]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.08171451836824417, 0.6467351317405701, 0.04813387244939804, 0.22341647744178772], [0.08247184008359909, 0.6698517203330994, 0.04418204352259636, 0.20349439978599548], [0.2928979992866516, 0.5627074837684631, 0.026812495663762093, 0.11758202314376831], [0.27240249514579773, 0.5783793926239014, 0.02765647880733013, 0.12156158685684204]], [[0.0574631430208683, 0.9158557653427124, 0.013824722729623318, 0.012856317684054375], [0.04984529688954353, 0.9275011420249939, 0.011655135080218315, 0.010998455807566643], [0.11151065677404404, 0.8602527976036072, 0.005083001684397459, 0.023153599351644516], [0.07536624372005463, 0.9053049087524414, 0.0035076094791293144, 0.015821166336536407]]]","[0.6698517203330994, 0.9275011420249939]","[1, 1]","[1, 1]"
