iter,t,j,argmax_state,max_prob
,0,0,2,0.5262367
,0,1,0,1.0
,0,2,0,1.0
,0,3,0,1.0
,1,0,0,0.81390345
,1,1,3,1.0
,1,2,1,0.7321859
,1,3,0,0.7563965
,2,0,1,0.76617235
,2,1,0,0.79440725
,2,2,0,0.5262521
,2,3,3,1.0
,3,0,0,0.51562476
,3,1,1,0.7430508
,3,2,3,1.0
,3,3,0,0.7709249
,4,0,3,1.0
,4,1,0,0.63853437
,4,2,0,0.8634734
,4,3,1,0.8781015
,5,0,0,0.68094873
,5,1,2,1.0
,5,2,0,0.6989504
,5,3,1,0.94550884
,6,0,0,0.659083
,6,1,0,0.89571375
,6,2,3,1.0
,6,3,1,0.9521187
,7,0,3,1.0
,7,1,0,0.70922285
,7,2,0,0.50534713
,7,3,1,0.948609
,8,0,0,0.98371005
,8,1,3,1.0
,8,2,1,0.9053185
,8,3,1,0.9121082
,9,0,3,1.0
,9,1,1,0.505861
,9,2,1,0.9458708
,9,3,1,0.5351522
,10,0,0,0.9472444
,10,1,1,0.90841293
,10,2,1,0.9075494
,10,3,3,1.0
,11,0,3,1.0
,11,1,1,0.9481447
,11,2,1,0.52507854
,11,3,0,0.7614566
,12,0,0,0.9781511
,12,1,1,0.9482235
,12,2,3,1.0
,12,3,1,0.8818775
,13,0,3,1.0
,13,1,1,0.9126198
,13,2,0,0.99009943
,13,3,1,0.9460377
,14,0,0,0.6821728
,14,1,1,0.53931195
,14,2,2,1.0
,14,3,1,0.9522904
,15,0,0,0.6595455
,15,1,3,1.0
,15,2,0,0.8258585
,15,3,1,0.95307904
,16,0,3,1.0
,16,1,0,0.9481236
,16,2,1,0.7919998
,16,3,1,0.9508261
,17,0,0,0.5067563
,17,1,3,1.0
,17,2,1,0.50203437
,17,3,1,0.90878975
,18,0,1,0.900516
,18,1,0,0.8736121
,18,2,3,1.0
,18,3,1,0.5292408
,19,0,1,0.94311434
,19,1,0,0.7197181
,19,2,0,0.7618199
,19,3,3,1.0
,20,0,1,0.907581
,20,1,3,1.0
,20,2,1,0.88147265
,20,3,0,0.94737345
,21,0,1,0.5288938
,21,1,0,0.8739276
,21,2,1,0.9434123
,21,3,3,1.0
,22,0,3,1.0
,22,1,0,0.71970314
,22,2,1,0.9522567
,22,3,0,0.76205283
,23,0,0,0.97815794
,23,1,3,1.0
,23,2,1,0.9529006
,23,3,1,0.88186044
,24,0,3,1.0
,24,1,0,0.9837727
,24,2,1,0.9535492
,24,3,1,0.9462467
,25,0,0,0.9482048
,25,1,3,1.0
,25,2,1,0.9546852
,25,3,1,0.9544293
,26,0,3,1.0
,26,1,0,0.9530378
,26,2,1,0.94862497
,26,3,1,0.95322174
,27,0,0,0.98514545
,27,1,2,1.0
,27,2,1,0.9059969
,27,3,1,0.9513081
,28,0,3,1.0
,28,1,0,0.8360353
,28,2,1,0.5285335
,28,3,1,0.9509048
,29,0,0,0.98541677
,29,1,1,0.7649568
,29,2,3,1.0
,29,3,1,0.95111394
,30,0,2,1.0
,30,1,0,0.5145741
,30,2,0,0.8859061
,30,3,1,0.9510324
,31,0,0,0.9036284
,31,1,3,1.0
,31,2,0,0.7201708
,31,3,1,0.9507496
,32,0,0,0.72592926
,32,1,0,0.8737552
,32,2,3,1.0
,32,3,1,0.95068026
,33,0,3,1.0
,33,1,0,0.7167899
,33,2,0,0.78908384
,33,3,1,0.9507677
,34,0,0,0.9836472
,34,1,3,1.0
,34,2,1,0.7704171
,34,3,1,0.95100147
,35,0,3,1.0
,35,1,0,0.76318395
,35,2,0,0.5178853
,35,3,1,0.953108
,36,0,0,0.9530947
,36,1,1,0.8821176
,36,2,3,1.0
,36,3,1,0.95259005
,37,0,2,1.0
,37,1,1,0.94362915
,37,2,0,0.9851398
,37,3,1,0.9463806
,38,0,0,0.9876097
,38,1,1,0.9494504
,38,2,3,1.0
,38,3,1,0.9050057
,39,0,3,1.0
,39,1,1,0.9457091
,39,2,0,0.772931
,39,3,1,0.5279661
,40,0,0,0.9836471
,40,1,1,0.90486866
,40,2,1,0.8723567
,40,3,3,1.0
,41,0,3,1.0
,41,1,1,0.52792
,41,2,1,0.9422124
,41,3,0,0.7728101
,42,0,0,0.98365146
,42,1,3,1.0
,42,2,1,0.9494252
,42,3,1,0.87268287
,43,0,3,1.0
,43,1,0,0.98576146
,43,2,1,0.94622356
,43,3,1,0.9428513
,44,0,0,0.9855281
,44,1,2,1.0
,44,2,1,0.9052734
,44,3,1,0.95049995
,45,0,3,1.0
,45,1,0,0.8289368
,45,2,1,0.524749
,45,3,1,0.95305544
,46,0,0,0.9801411
,46,1,1,0.77263945
,46,2,3,1.0
,46,3,1,0.9529259
,47,0,2,1.0
,47,1,0,0.5365347
,47,2,0,0.7861657
,47,3,1,0.95136124
,48,0,0,0.98765284
,48,1,2,1.0
,48,2,1,0.8723925
,48,3,1,0.9508127
,49,0,3,1.0
,49,1,0,0.98780066
,49,2,1,0.94500816
,49,3,1,0.9486913
,50,0,0,0.9524247
,50,1,3,1.0
,50,2,1,0.95171696
,50,3,1,0.9069226
,51,0,2,1.0
,51,1,0,0.88259315
,51,2,1,0.9464106
,51,3,1,0.50641936
,52,0,0,0.8224107
,52,1,0,0.71809113
,52,2,1,0.90535927
,52,3,2,1.0
,53,0,1,0.86702794
,53,1,3,1.0
,53,2,1,0.5282673
,53,3,0,0.83603394
,54,0,1,0.94152
,54,1,0,0.9853027
,54,2,3,1.0
,54,3,1,0.7646815
,55,0,1,0.9457724
,55,1,2,1.0
,55,2,0,0.7895801
,55,3,0,0.5148565
,56,0,1,0.9116499
,56,1,0,0.9877932
,56,2,1,0.87675315
,56,3,3,1.0
,57,0,1,0.5350161
,57,1,3,1.0
,57,2,1,0.94774556
,57,3,0,0.5179821
,58,0,3,1.0
,58,1,0,0.94724697
,58,2,1,0.9524515
,58,3,1,0.82889277
,59,0,0,0.86356163
,59,1,3,1.0
,59,2,1,0.9534407
,59,3,1,0.50044143
,60,0,0,0.7022601
,60,1,0,0.6903003
