transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.15738780796527863, 0.26427510380744934, 0.08974165469408035, 0.48859548568725586], [0.2101057916879654, 0.6642320156097412, 0.01581403985619545, 0.10984818637371063], [0.8787246942520142, 0.11436625570058823, 0.00045286453678272665, 0.006456166505813599], [0.854152262210846, 0.13851520419120789, 0.0009372576023451984, 0.006395334377884865]], [[0.15848805010318756, 0.27185794711112976, 0.11522366851568222, 0.45443031191825867], [0.20516596734523773, 0.6554407477378845, 0.022904755547642708, 0.11648847162723541], [0.838559091091156, 0.10767727345228195, 6.725735875079408e-05, 0.053696341812610626], [0.8412066698074341, 0.09249477088451385, 0.0001357663859380409, 0.06616281718015671]]]","[0.8787246942520142, 0.8412066698074341]","[2, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.15738780796527863, 0.26427510380744934, 0.08974165469408035, 0.48859548568725586], [0.2101057916879654, 0.6642320156097412, 0.01581403985619545, 0.10984818637371063], [0.8787246942520142, 0.11436625570058823, 0.00045286453678272665, 0.006456166505813599], [0.854152262210846, 0.13851520419120789, 0.0009372576023451984, 0.006395334377884865]], [[0.15848805010318756, 0.27185794711112976, 0.11522366851568222, 0.45443031191825867], [0.20516596734523773, 0.6554407477378845, 0.022904755547642708, 0.11648847162723541], [0.838559091091156, 0.10767727345228195, 6.725735875079408e-05, 0.053696341812610626], [0.8412066698074341, 0.09249477088451385, 0.0001357663859380409, 0.06616281718015671]]]","[0.8787246942520142, 0.8412066698074341]","[2, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.15738780796527863, 0.26427510380744934, 0.08974165469408035, 0.48859548568725586], [0.2101057916879654, 0.6642320156097412, 0.01581403985619545, 0.10984818637371063], [0.8787246942520142, 0.11436625570058823, 0.00045286453678272665, 0.006456166505813599], [0.854152262210846, 0.13851520419120789, 0.0009372576023451984, 0.006395334377884865]], [[0.15848805010318756, 0.27185794711112976, 0.11522366851568222, 0.45443031191825867], [0.20516596734523773, 0.6554407477378845, 0.022904755547642708, 0.11648847162723541], [0.838559091091156, 0.10767727345228195, 6.725735875079408e-05, 0.053696341812610626], [0.8412066698074341, 0.09249477088451385, 0.0001357663859380409, 0.06616281718015671]]]","[0.8787246942520142, 0.8412066698074341]","[2, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.15738780796527863, 0.26427510380744934, 0.08974165469408035, 0.48859548568725586], [0.2101057916879654, 0.6642320156097412, 0.01581403985619545, 0.10984818637371063], [0.8787246942520142, 0.11436625570058823, 0.00045286453678272665, 0.006456166505813599], [0.854152262210846, 0.13851520419120789, 0.0009372576023451984, 0.006395334377884865]], [[0.15848805010318756, 0.27185794711112976, 0.11522366851568222, 0.45443031191825867], [0.20516596734523773, 0.6554407477378845, 0.022904755547642708, 0.11648847162723541], [0.838559091091156, 0.10767727345228195, 6.725735875079408e-05, 0.053696341812610626], [0.8412066698074341, 0.09249477088451385, 0.0001357663859380409, 0.06616281718015671]]]","[0.8787246942520142, 0.8412066698074341]","[2, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.027088508009910583, 0.3360927700996399, 0.015445716679096222, 0.6213730573654175], [0.03533778339624405, 0.8254866003990173, 0.0026597699616104364, 0.13651585578918457], [0.49591079354286194, 0.4769112765789032, 0.00025557525805197656, 0.026922427117824554], [0.44352155923843384, 0.5314542055130005, 0.00048667434020899236, 0.024537578225135803]], [[0.06761477142572403, 0.8569905161857605, 0.049157146364450455, 0.026237552985548973], [0.04033202677965164, 0.9520662426948547, 0.004502675496041775, 0.003099123714491725], [0.510840892791748, 0.48469114303588867, 4.097239798284136e-05, 0.004426981788128614], [0.5484655499458313, 0.44560784101486206, 8.851940219756216e-05, 0.005838100798428059]]]","[0.8254866003990173, 0.9520662426948547]","[1, 1]","[1, 1]"
