transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.28830453753471375, 0.31481078267097473, 0.14976364374160767, 0.24712099134922028], [0.3137311637401581, 0.4333040714263916, 0.0984034612774849, 0.15456132590770721], [0.7001634836196899, 0.2633107006549835, 0.014782079495489597, 0.021743791177868843], [0.7092735171318054, 0.25510621070861816, 0.014461777172982693, 0.021158503368496895]], [[0.2842220067977905, 0.3300512731075287, 0.027595678344368935, 0.3581309914588928], [0.296855092048645, 0.4318183958530426, 0.027322126552462578, 0.24400439858436584], [0.4402354955673218, 0.30032646656036377, 0.0030675746966153383, 0.256370484828949], [0.4378856122493744, 0.3013167977333069, 0.0030761624220758677, 0.2577214241027832]]]","[0.7092735171318054, 0.4402354955673218]","[3, 2]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.28830453753471375, 0.31481078267097473, 0.14976364374160767, 0.24712099134922028], [0.3137311637401581, 0.4333040714263916, 0.0984034612774849, 0.15456132590770721], [0.7001634836196899, 0.2633107006549835, 0.014782079495489597, 0.021743791177868843], [0.7092735171318054, 0.25510621070861816, 0.014461777172982693, 0.021158503368496895]], [[0.2842220067977905, 0.3300512731075287, 0.027595678344368935, 0.3581309914588928], [0.296855092048645, 0.4318183958530426, 0.027322126552462578, 0.24400439858436584], [0.4402354955673218, 0.30032646656036377, 0.0030675746966153383, 0.256370484828949], [0.4378856122493744, 0.3013167977333069, 0.0030761624220758677, 0.2577214241027832]]]","[0.7092735171318054, 0.4402354955673218]","[3, 2]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.28830453753471375, 0.31481078267097473, 0.14976364374160767, 0.24712099134922028], [0.3137311637401581, 0.4333040714263916, 0.0984034612774849, 0.15456132590770721], [0.7001634836196899, 0.2633107006549835, 0.014782079495489597, 0.021743791177868843], [0.7092735171318054, 0.25510621070861816, 0.014461777172982693, 0.021158503368496895]], [[0.2842220067977905, 0.3300512731075287, 0.027595678344368935, 0.3581309914588928], [0.296855092048645, 0.4318183958530426, 0.027322126552462578, 0.24400439858436584], [0.4402354955673218, 0.30032646656036377, 0.0030675746966153383, 0.256370484828949], [0.4378856122493744, 0.3013167977333069, 0.0030761624220758677, 0.2577214241027832]]]","[0.7092735171318054, 0.4402354955673218]","[3, 2]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.28830453753471375, 0.31481078267097473, 0.14976364374160767, 0.24712099134922028], [0.3137311637401581, 0.4333040714263916, 0.0984034612774849, 0.15456132590770721], [0.7001634836196899, 0.2633107006549835, 0.014782079495489597, 0.021743791177868843], [0.7092735171318054, 0.25510621070861816, 0.014461777172982693, 0.021158503368496895]], [[0.2842220067977905, 0.3300512731075287, 0.027595678344368935, 0.3581309914588928], [0.296855092048645, 0.4318183958530426, 0.027322126552462578, 0.24400439858436584], [0.4402354955673218, 0.30032646656036377, 0.0030675746966153383, 0.256370484828949], [0.4378856122493744, 0.3013167977333069, 0.0030761624220758677, 0.2577214241027832]]]","[0.7092735171318054, 0.4402354955673218]","[3, 2]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.06280852854251862, 0.5067638754844666, 0.03262672945857048, 0.3978008031845093], [0.0659666657447815, 0.6732068657875061, 0.02069079503417015, 0.24013563990592957], [0.24817676842212677, 0.6896347403526306, 0.005239586345851421, 0.05694897472858429], [0.2565118968486786, 0.6817163825035095, 0.0052301641553640366, 0.05654153972864151]], [[0.10154221951961517, 0.8712830543518066, 0.009858934208750725, 0.01731576956808567], [0.08366993814706802, 0.8993217349052429, 0.007700864225625992, 0.009307513944804668], [0.1632237732410431, 0.8227748274803162, 0.0011373483575880527, 0.01286404300481081], [0.16204257309436798, 0.8239119648933411, 0.001138355233706534, 0.01290714181959629]]]","[0.6896347403526306, 0.8993217349052429]","[2, 1]","[1, 1]"
