transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.31768128275871277, 0.32135629653930664, 0.1784755140542984, 0.18248695135116577], [0.33383163809776306, 0.4043029844760895, 0.13157255947589874, 0.13029280304908752], [0.6938490867614746, 0.24075929820537567, 0.033698391169309616, 0.0316932238638401], [0.7053196430206299, 0.2315729856491089, 0.03258136287331581, 0.030525971204042435]], [[0.2872728705406189, 0.3468369245529175, 0.023170217871665955, 0.3427199721336365], [0.2710346579551697, 0.41994911432266235, 0.026427878066897392, 0.28258833289146423], [0.3480536937713623, 0.31774091720581055, 0.006185844540596008, 0.3280195891857147], [0.34651920199394226, 0.3185023069381714, 0.006182128097862005, 0.3287963271141052]]]","[0.7053196430206299, 0.41994911432266235]","[3, 1]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.31768128275871277, 0.32135629653930664, 0.1784755140542984, 0.18248695135116577], [0.33383163809776306, 0.4043029844760895, 0.13157255947589874, 0.13029280304908752], [0.6938490867614746, 0.24075929820537567, 0.033698391169309616, 0.0316932238638401], [0.7053196430206299, 0.2315729856491089, 0.03258136287331581, 0.030525971204042435]], [[0.2872728705406189, 0.3468369245529175, 0.023170217871665955, 0.3427199721336365], [0.2710346579551697, 0.41994911432266235, 0.026427878066897392, 0.28258833289146423], [0.3480536937713623, 0.31774091720581055, 0.006185844540596008, 0.3280195891857147], [0.34651920199394226, 0.3185023069381714, 0.006182128097862005, 0.3287963271141052]]]","[0.7053196430206299, 0.41994911432266235]","[3, 1]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.31768128275871277, 0.32135629653930664, 0.1784755140542984, 0.18248695135116577], [0.33383163809776306, 0.4043029844760895, 0.13157255947589874, 0.13029280304908752], [0.6938490867614746, 0.24075929820537567, 0.033698391169309616, 0.0316932238638401], [0.7053196430206299, 0.2315729856491089, 0.03258136287331581, 0.030525971204042435]], [[0.2872728705406189, 0.3468369245529175, 0.023170217871665955, 0.3427199721336365], [0.2710346579551697, 0.41994911432266235, 0.026427878066897392, 0.28258833289146423], [0.3480536937713623, 0.31774091720581055, 0.006185844540596008, 0.3280195891857147], [0.34651920199394226, 0.3185023069381714, 0.006182128097862005, 0.3287963271141052]]]","[0.7053196430206299, 0.41994911432266235]","[3, 1]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.31768128275871277, 0.32135629653930664, 0.1784755140542984, 0.18248695135116577], [0.33383163809776306, 0.4043029844760895, 0.13157255947589874, 0.13029280304908752], [0.6938490867614746, 0.24075929820537567, 0.033698391169309616, 0.0316932238638401], [0.7053196430206299, 0.2315729856491089, 0.03258136287331581, 0.030525971204042435]], [[0.2872728705406189, 0.3468369245529175, 0.023170217871665955, 0.3427199721336365], [0.2710346579551697, 0.41994911432266235, 0.026427878066897392, 0.28258833289146423], [0.3480536937713623, 0.31774091720581055, 0.006185844540596008, 0.3280195891857147], [0.34651920199394226, 0.3185023069381714, 0.006182128097862005, 0.3287963271141052]]]","[0.7053196430206299, 0.41994911432266235]","[3, 1]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.07529629021883011, 0.5628046989440918, 0.0423019714653492, 0.3195970356464386], [0.0756034180521965, 0.6765655875205994, 0.02979745902121067, 0.2180335819721222], [0.25316357612609863, 0.6490949392318726, 0.012295475229620934, 0.08544597029685974], [0.2637138068675995, 0.6397697329521179, 0.012181930243968964, 0.08433452248573303]], [[0.09839383512735367, 0.8777838349342346, 0.007936031557619572, 0.0158863365650177], [0.07881815731525421, 0.9023749232292175, 0.007685353979468346, 0.011121587827801704], [0.12672914564609528, 0.8548547625541687, 0.0022523163352161646, 0.01616371050477028], [0.12597811222076416, 0.8555971384048462, 0.0022475316654890776, 0.016177291050553322]]]","[0.6765655875205994, 0.9023749232292175]","[1, 1]","[1, 1]"
