transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.405952125787735, 0.15275141596794128, 0.35492733120918274, 0.0863691046833992], [0.40436533093452454, 0.15310318768024445, 0.3559185266494751, 0.08661296218633652], [0.6084493398666382, 0.10115884244441986, 0.23454511165618896, 0.05584678798913956], [0.6163291931152344, 0.0990513265132904, 0.2299254685640335, 0.05469394102692604]], [[0.11719871312379837, 0.36351603269577026, 0.037208881229162216, 0.4820763170719147], [0.11209893971681595, 0.3904752731323242, 0.036474693566560745, 0.460951030254364], [0.09832577407360077, 0.47033947706222534, 0.030718326568603516, 0.4006163775920868], [0.09734698385000229, 0.47546687722206116, 0.030436620116233826, 0.39674949645996094]]]","[0.6163291931152344, 0.4820763170719147]","[3, 0]","[0, 3]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.405952125787735, 0.15275141596794128, 0.35492733120918274, 0.0863691046833992], [0.40436533093452454, 0.15310318768024445, 0.3559185266494751, 0.08661296218633652], [0.6084493398666382, 0.10115884244441986, 0.23454511165618896, 0.05584678798913956], [0.6163291931152344, 0.0990513265132904, 0.2299254685640335, 0.05469394102692604]], [[0.11719871312379837, 0.36351603269577026, 0.037208881229162216, 0.4820763170719147], [0.11209893971681595, 0.3904752731323242, 0.036474693566560745, 0.460951030254364], [0.09832577407360077, 0.47033947706222534, 0.030718326568603516, 0.4006163775920868], [0.09734698385000229, 0.47546687722206116, 0.030436620116233826, 0.39674949645996094]]]","[0.6163291931152344, 0.4820763170719147]","[3, 0]","[0, 3]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.405952125787735, 0.15275141596794128, 0.35492733120918274, 0.0863691046833992], [0.40436533093452454, 0.15310318768024445, 0.3559185266494751, 0.08661296218633652], [0.6084493398666382, 0.10115884244441986, 0.23454511165618896, 0.05584678798913956], [0.6163291931152344, 0.0990513265132904, 0.2299254685640335, 0.05469394102692604]], [[0.11719871312379837, 0.36351603269577026, 0.037208881229162216, 0.4820763170719147], [0.11209893971681595, 0.3904752731323242, 0.036474693566560745, 0.460951030254364], [0.09832577407360077, 0.47033947706222534, 0.030718326568603516, 0.4006163775920868], [0.09734698385000229, 0.47546687722206116, 0.030436620116233826, 0.39674949645996094]]]","[0.6163291931152344, 0.4820763170719147]","[3, 0]","[0, 3]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.405952125787735, 0.15275141596794128, 0.35492733120918274, 0.0863691046833992], [0.40436533093452454, 0.15310318768024445, 0.3559185266494751, 0.08661296218633652], [0.6084493398666382, 0.10115884244441986, 0.23454511165618896, 0.05584678798913956], [0.6163291931152344, 0.0990513265132904, 0.2299254685640335, 0.05469394102692604]], [[0.11719871312379837, 0.36351603269577026, 0.037208881229162216, 0.4820763170719147], [0.11209893971681595, 0.3904752731323242, 0.036474693566560745, 0.460951030254364], [0.09832577407360077, 0.47033947706222534, 0.030718326568603516, 0.4006163775920868], [0.09734698385000229, 0.47546687722206116, 0.030436620116233826, 0.39674949645996094]]]","[0.6163291931152344, 0.4820763170719147]","[3, 0]","[0, 3]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.16059795022010803, 0.44651833176612854, 0.1404121220111847, 0.25247159600257874], [0.1597297042608261, 0.44687387347221375, 0.1405925750732422, 0.25280386209487915], [0.303751140832901, 0.3731525242328644, 0.11709003150463104, 0.20600636303424835], [0.31091824173927307, 0.36921781301498413, 0.11598999798297882, 0.2038739025592804]], [[0.04033421352505684, 0.9244071245193481, 0.012805524282157421, 0.02245316468179226], [0.03620533272624016, 0.9318660497665405, 0.011780474334955215, 0.020148226991295815], [0.02687504142522812, 0.9499096870422363, 0.008396136574447155, 0.014819093979895115], [0.026347525417804718, 0.9508818984031677, 0.008237848989665508, 0.014532648958265781]]]","[0.44687387347221375, 0.9508818984031677]","[1, 3]","[1, 1]"
