scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
mech_evidence,1,452,0.1504814809567369,0.17974145793408686,2,0
no_mech_evidence,1,3210,0.029728309548825514,0.04075516901242307,1943,0
